model,n_first_divergence_records,pt_upstream_late_effect,pt_upstream_ci_low,pt_upstream_ci_high,it_upstream_late_effect,it_upstream_ci_low,it_upstream_ci_high,interaction,interaction_ci_low,interaction_ci_high,ratio_descriptive,exp20_mid_identity_transfer,exp20_late_identity_transfer,exp21_late_writeout_support,convergence_gap_raw_late_effect
qwen25_32b,1397,0.9766240157480315,,,2.422825697924123,,,1.4462016821760917,,,2.4808172427220043,0.4566929133858268,0.27415891195418757,1.1796086046807877,0.22299963663290612
pooled_32b,1397,0.9766240157480315,0.8801751521116679,1.0745375134216177,2.422825697924123,2.264841513063708,2.583184390658554,1.4462016821760917,1.321259842519685,1.5694104554402288,2.4808172427220043,0.4566929133858268,0.27415891195418757,1.1796086046807877,0.22299963663290612
