position_filter,position_label,prompt_category,metric,estimate,ci95_low,ci95_high,n_records,n_prompt_clusters,reportable
step_ge1,positions >=1,GOV-CONV,interaction,0.9669502617801047,0.7984293193717278,1.1410340314136125,191,191,True
step_ge1,positions >=1,GOV-CONV,late_given_pt,0.3226439790575916,0.19991819371727748,0.44044502617801046,191,191,True
step_ge1,positions >=1,GOV-CONV,late_given_it,1.2895942408376964,1.107648887434555,1.4895369764397905,191,191,True
step_ge1,positions >=1,GOV-FORMAT,interaction,0.9032451923076923,0.5246394230769231,1.3341496394230767,104,104,True
step_ge1,positions >=1,GOV-FORMAT,late_given_pt,1.1328125,0.7986478365384615,1.5150240384615385,104,104,True
step_ge1,positions >=1,GOV-FORMAT,late_given_it,2.0360576923076925,1.5414513221153847,2.54873798076923,104,104,True
step_ge1,positions >=1,GOV-REGISTER,interaction,0.1481958762886598,0.07345360824742268,0.22164948453608246,97,97,True
step_ge1,positions >=1,GOV-REGISTER,late_given_pt,0.5721649484536082,0.43170103092783507,0.7203930412371129,97,97,True
step_ge1,positions >=1,GOV-REGISTER,late_given_it,0.720360824742268,0.5786082474226805,0.8621134020618557,97,97,True
step_ge1,positions >=1,SAFETY,interaction,0.5783390410958904,0.1952054794520548,1.0744970034246575,73,73,True
step_ge1,positions >=1,SAFETY,late_given_pt,1.259417808219178,0.9700128424657534,1.547945205479452,73,73,True
step_ge1,positions >=1,SAFETY,late_given_it,1.8377568493150684,1.3612585616438355,2.4289383561643834,73,73,True
step_ge3,positions >=3,ALL,interaction,1.0200537420382165,0.8473328025477707,1.2028774382961782,628,628,True
step_ge3,positions >=3,ALL,late_given_pt,0.9845740445859873,0.8367834394904459,1.1460987261146496,628,628,True
step_ge3,positions >=3,ALL,late_given_it,2.0046277866242037,1.730880523487261,2.2848352906050953,628,628,True
step_ge3,positions >=3,BASELINE-EASY,interaction,1.5168269230769231,,,26,26,False
step_ge3,positions >=3,BASELINE-EASY,late_given_pt,0.6730769230769231,,,26,26,False
step_ge3,positions >=3,BASELINE-EASY,late_given_it,2.1899038461538463,,,26,26,False
step_ge3,positions >=3,CONTENT-FACT,interaction,1.4680316091954022,1.0491648706896552,1.9299748563218388,174,174,True
step_ge3,positions >=3,CONTENT-FACT,late_given_pt,1.3803879310344827,1.0136404454022987,1.7751616379310342,174,174,True
step_ge3,positions >=3,CONTENT-FACT,late_given_it,2.848419540229885,2.0390625,3.6965068247126434,174,174,True
step_ge3,positions >=3,CONTENT-REASON,interaction,1.580105633802817,0.903125,2.3301276408450704,71,71,True
