position_filter,position_label,metric,estimate,ci95_low,ci95_high,n_records,n_prompt_clusters
all,all positions,interaction,1.4462016821760917,1.3264098290980673,1.5679178596993557,1397,1397
all,all positions,late_given_pt,0.9766240157480315,0.8765859878310666,1.0779818360773084,1397,1397
all,all positions,late_given_it,2.422825697924123,2.268048720472441,2.5886850170007154,1397,1397
all,all positions,upstream_context,2.050901485325698,1.9342617551002148,2.17355913341088,1397,1397
all,all positions,late_stack_main,1.6997248568360772,1.5803580216535433,1.824002046796707,1397,1397
step_0,position 0,interaction,1.7873616236162362,1.5986407403136533,1.9960836600553504,542,542
step_0,position 0,late_given_pt,1.1887107933579335,1.0268017758302583,1.3573022370848709,542,542
step_0,position 0,late_given_it,2.9760724169741697,2.7600827375461257,3.207527098708487,542,542
step_0,position 0,upstream_context,2.651983394833948,2.4384225092250924,2.8705380823339484,542,542
step_0,position 0,late_stack_main,2.082391605166052,1.913454220479705,2.257755563883764,542,542
step_ge1,positions >=1,interaction,1.2299342105263158,1.0823072002923977,1.3824607090643275,855,855
step_ge1,positions >=1,late_given_pt,0.8421783625730994,0.7203198099415205,0.9708607456140347,855,855
step_ge1,positions >=1,late_given_it,2.072112573099415,1.8517498172514621,2.292441520467836,855,855
step_ge1,positions >=1,upstream_context,1.6698647660818713,1.5290871710526317,1.805905519005848,855,855
step_ge1,positions >=1,late_stack_main,1.4571454678362572,1.3018233735380118,1.617875091374269,855,855
step_ge3,positions >=3,interaction,1.0200537420382165,0.8526062400477707,1.205178891321656,628,628
step_ge3,positions >=3,late_given_pt,0.9845740445859873,0.8341859076433121,1.1431130573248407,628,628
step_ge3,positions >=3,late_given_it,2.0046277866242037,1.7345715565286624,2.2803057822452226,628,628
step_ge3,positions >=3,upstream_context,1.4204568073248407,1.266033663415605,1.5756885698646497,628,628
step_ge3,positions >=3,late_stack_main,1.4946009156050954,1.291125721536624,1.7099733777866242,628,628
step_ge5,positions >=5,interaction,0.68567037470726,0.5208522394613583,0.8753714139344262,427,427
step_ge5,positions >=5,late_given_pt,0.8499707259953162,0.7019906323185011,1.014787031615925,427,427
step_ge5,positions >=5,late_given_it,1.535641100702576,1.3272486094847775,1.7563744145199063,427,427
step_ge5,positions >=5,upstream_context,1.2510611826697893,1.0714185084894614,1.4405893223067914,427,427
step_ge5,positions >=5,late_stack_main,1.1928059133489461,1.0303717798594847,1.3648300278103045,427,427
step_ge10,positions >=10,interaction,0.8860554245283019,0.5893241450471699,1.222733637971698,212,212
step_ge10,positions >=10,late_given_pt,0.8543632075471698,0.6362028301886793,1.0952314268867924,212,212
step_ge10,positions >=10,late_given_it,1.7404186320754718,1.3651201356132074,2.1285414209905658,212,212
step_ge10,positions >=10,upstream_context,1.3646079009433962,1.0816627358490567,1.674087927476415,212,212
step_ge10,positions >=10,late_stack_main,1.2973909198113207,1.041933225235849,1.5869693396226414,212,212
