position_stratum,dense6_estimate,dense6_ci95_low,dense6_ci95_high,dense6_n_models,dense6_n_prompt_clusters,gemma_removed_estimate,gemma_removed_ci95_low,gemma_removed_ci95_high,gemma_removed_n_models,gemma_removed_n_prompt_clusters,ci_method,models
all positions,2.4370302715690264,2.352823131687026,2.5212374114510268,6,4380,1.708858200882832,1.63676853978058,1.7809478619850838,5,3780,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;qwen3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen25_32b
positions >=1,2.078516884791658,1.9630930762472343,2.1939406933360823,6,2339,1.1587926301710425,1.0802079099559732,1.2373773503861119,5,2054,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;qwen3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen25_32b
positions >=3,1.4342981832789896,1.2996277325024441,1.568968634055535,6,1428,0.834491153268121,0.7548336097018165,0.9141486968344255,5,1353,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;qwen3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen25_32b
position >=5,1.4799920390405037,1.2762577456255648,1.6837263324554426,6,922,0.7978654468486045,0.7006830365207799,0.8950478571764291,5,886,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;qwen3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen25_32b
position >=10,1.3929278932300615,0.8166794430260345,1.9691763434340885,6,352,1.0137009718760734,0.8130862277587054,1.2143157159934415,5,344,family_bootstrap_normal_approx_from_stored_per_family_cis,gemma3_4b;qwen3_4b;llama31_8b;mistral_7b;olmo2_7b;qwen25_32b
