condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A2_beta_-0.75,structural_token_ratio,ratio,0.008050655724517422,979,A2,directional_add,1.0,-0.75,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.75,mmlu_accuracy,accuracy,0.185,200,A2,directional_add,1.0,-0.75,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.75,exp3_reasoning_em,contains_em,0.0,100,A2,directional_add,1.0,-0.75,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,structural_token_ratio,ratio,0.7062658247438635,979,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,mmlu_accuracy,accuracy,0.0,200,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,exp3_reasoning_em,contains_em,0.0,100,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b3,structural_token_ratio,ratio,0.5186688542663126,979,A2,directional_rotated,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,structural_token_ratio,ratio,0.026240206464790156,979,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,mmlu_accuracy,accuracy,0.225,200,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,exp3_reasoning_em,contains_em,0.05,100,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,structural_token_ratio,ratio,0.006128702757916241,979,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,mmlu_accuracy,accuracy,0.0,200,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,exp3_reasoning_em,contains_em,0.0,100,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b0,structural_token_ratio,ratio,0.020958530549797967,979,A2,content_direction,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b0,mmlu_accuracy,accuracy,0.55,200,A2,content_direction,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.25,structural_token_ratio,ratio,0.02548399584721321,979,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.25,mmlu_accuracy,accuracy,0.495,200,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.25,exp3_reasoning_em,contains_em,0.09,100,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_5,structural_token_ratio,ratio,0.003054085545192767,979,A2,directional_add,1.0,5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_5,mmlu_accuracy,accuracy,0.0,200,A2,directional_add,1.0,5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_5,exp3_reasoning_em,contains_em,0.0,100,A2,directional_add,1.0,5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b1,structural_token_ratio,ratio,0.0,979,A2,content_direction,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b1,mmlu_accuracy,accuracy,0.0,200,A2,content_direction,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_baseline_pt,coherent_assistant_rate,rate,0.47088866189989786,979,A2,none,1.0,0.0,[]
A2_beta_0,coherent_assistant_rate,rate,0.47088866189989786,979,A2,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b0,coherent_assistant_rate,rate,0.47088866189989786,979,A2,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-5,coherent_assistant_rate,rate,0.007150153217568948,979,A2,directional_add,1.0,-5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.25,coherent_assistant_rate,rate,0.449438202247191,979,A2,directional_add,1.0,0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b1,coherent_assistant_rate,rate,0.4514811031664964,979,A2,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-3,coherent_assistant_rate,rate,0.01634320735444331,979,A2,directional_add,1.0,-3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.5,coherent_assistant_rate,rate,0.4351378958120531,979,A2,directional_add,1.0,0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b3,coherent_assistant_rate,rate,0.06639427987742594,979,A2,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-2,coherent_assistant_rate,rate,0.06639427987742594,979,A2,directional_add,1.0,-2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1,coherent_assistant_rate,rate,0.015321756894790603,979,A2,directional_add,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b0,coherent_assistant_rate,rate,0.47088866189989786,979,A2,directional_rotated,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-1,coherent_assistant_rate,rate,0.26455566905005107,979,A2,directional_add,1.0,-1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1.5,coherent_assistant_rate,rate,0.0,979,A2,directional_add,1.0,1.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b1,coherent_assistant_rate,rate,0.4811031664964249,979,A2,directional_rotated,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.75,coherent_assistant_rate,rate,0.39632277834525026,979,A2,directional_add,1.0,-0.75,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,coherent_assistant_rate,rate,0.007150153217568948,979,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b3,coherent_assistant_rate,rate,0.005107252298263534,979,A2,directional_rotated,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,coherent_assistant_rate,rate,0.6210418794688458,979,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,coherent_assistant_rate,rate,0.017364657814096015,979,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b0,coherent_assistant_rate,rate,0.47088866189989786,979,A2,content_direction,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.25,coherent_assistant_rate,rate,0.526046986721144,979,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_5,coherent_assistant_rate,rate,0.018386108273748723,979,A2,directional_add,1.0,5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b1,coherent_assistant_rate,rate,0.0,979,A2,content_direction,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_baseline_pt,format_compliance,compliance,0.352112676056338,71,A2,none,1.0,0.0,[]
A2_beta_0,format_compliance,compliance,0.352112676056338,71,A2,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b0,format_compliance,compliance,0.352112676056338,71,A2,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-5,format_compliance,compliance,0.2361111111111111,72,A2,directional_add,1.0,-5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.25,format_compliance,compliance,0.4084507042253521,71,A2,directional_add,1.0,0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b1,format_compliance,compliance,0.4084507042253521,71,A2,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-3,format_compliance,compliance,0.25,72,A2,directional_add,1.0,-3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.5,format_compliance,compliance,0.4383561643835616,73,A2,directional_add,1.0,0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b3,format_compliance,compliance,0.3611111111111111,72,A2,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-2,format_compliance,compliance,0.25,72,A2,directional_add,1.0,-2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1,format_compliance,compliance,0.39436619718309857,71,A2,directional_add,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
