model,cell,readout,metric,n,mean,median,p05,p95
gemma3_4b,U_IT__L_PT,common_it,top_choice_it_rate,600,0.4033333333333333,242,,
gemma3_4b,U_IT__L_PT,common_it,top_choice_other_rate,600,0.395,237,,
gemma3_4b,U_IT__L_PT,common_pt,it_vs_pt_margin,600,0.85078125,0.625,-2.940625,5.628124999999997
gemma3_4b,U_IT__L_PT,common_pt,it_rank,600,12.126666666666667,2.0,1.0,43.049999999999955
gemma3_4b,U_IT__L_PT,common_pt,pt_rank,600,31.735,3.0,1.0,57.09999999999991
gemma3_4b,U_IT__L_PT,common_pt,late_kl_mean,600,1.0089168898510703,0.8951825946569443,0.26757690885237284,1.9884479969739883
gemma3_4b,U_IT__L_PT,common_pt,remaining_adj_js,600,0.29150208884353,0.26529042795300484,0.08559088830746381,0.5825205288439368
gemma3_4b,U_IT__L_PT,common_pt,future_top1_flips,600,1.1577777777777778,1.0,0.0,2.6666666666666665
gemma3_4b,U_IT__L_PT,common_pt,top5_churn,600,0.3353913139329806,0.3333333333333333,0.15079365079365079,0.5052910052910052
gemma3_4b,U_IT__L_PT,common_pt,top_choice_pt_rate,600,0.20833333333333334,125,,
gemma3_4b,U_IT__L_PT,common_pt,top_choice_it_rate,600,0.455,273,,
gemma3_4b,U_IT__L_PT,common_pt,top_choice_other_rate,600,0.33666666666666667,202,,
gemma3_4b,U_IT__L_IT,common_it,it_vs_pt_margin,600,7.070755208333333,5.5,0.6187500000000004,18.9375
gemma3_4b,U_IT__L_IT,common_it,it_rank,600,1.0116666666666667,1.0,1.0,1.0
gemma3_4b,U_IT__L_IT,common_it,pt_rank,600,179.725,5.0,2.0,319.0999999999999
gemma3_4b,U_IT__L_IT,common_it,late_kl_mean,600,1.3048105066523497,0.7409135240637365,0.016937245734568156,4.575377148389816
gemma3_4b,U_IT__L_IT,common_it,remaining_adj_js,600,0.2349731598027471,0.18763530522119254,0.0056149108221385784,0.6000402315364521
gemma3_4b,U_IT__L_IT,common_it,future_top1_flips,600,0.7477777777777778,0.5,0.0,2.3333333333333335
gemma3_4b,U_IT__L_IT,common_it,top5_churn,600,0.30417989417989416,0.30158730158730157,0.11111111111111112,0.4895502645502644
gemma3_4b,U_IT__L_IT,common_it,top_choice_pt_rate,600,0.0016666666666666668,1,,
gemma3_4b,U_IT__L_IT,common_it,top_choice_it_rate,600,0.9816666666666667,589,,
gemma3_4b,U_IT__L_IT,common_it,top_choice_other_rate,600,0.016666666666666666,10,,
gemma3_4b,U_IT__L_IT,common_pt,it_vs_pt_margin,600,6.8553125,5.3125,0.24375000000000036,18.40937499999997
gemma3_4b,U_IT__L_IT,common_pt,it_rank,600,1.9116666666666666,1.0,1.0,3.0
gemma3_4b,U_IT__L_IT,common_pt,pt_rank,600,429.455,7.0,2.0,598.1499999999999
gemma3_4b,U_IT__L_IT,common_pt,late_kl_mean,600,1.4075883110067984,0.9389223073210036,0.031068394412951818,4.607123024229491
gemma3_4b,U_IT__L_IT,common_pt,remaining_adj_js,600,0.2498211194765897,0.206088133835389,0.011206837036661456,0.6479106580683339
gemma3_4b,U_IT__L_IT,common_pt,future_top1_flips,600,0.748611111111111,0.5,0.0,2.3333333333333335
gemma3_4b,U_IT__L_IT,common_pt,top5_churn,600,0.3261122134038801,0.3174603174603175,0.15079365079365079,0.5081349206349204
gemma3_4b,U_IT__L_IT,common_pt,top_choice_pt_rate,600,0.03333333333333333,20,,
gemma3_4b,U_IT__L_IT,common_pt,top_choice_it_rate,600,0.7683333333333333,461,,
gemma3_4b,U_IT__L_IT,common_pt,top_choice_other_rate,600,0.19833333333333333,119,,
llama31_8b,U_PT__L_PT,common_it,it_vs_pt_margin,600,-1.4544580078125,-1.0625,-6.8341796875,3.5437499999999886
llama31_8b,U_PT__L_PT,common_it,it_rank,600,766.3516666666667,4.0,1.0,474.5499999999995
llama31_8b,U_PT__L_PT,common_it,pt_rank,600,70.61333333333333,1.0,1.0,567.8999999999983
llama31_8b,U_PT__L_PT,common_it,late_kl_mean,600,3.816624785807826,4.0092416150229315,0.8597001082130842,5.847651389241217
llama31_8b,U_PT__L_PT,common_it,remaining_adj_js,600,0.5455774538045777,0.5674712973025937,0.232502801384544,0.8123710692084084
llama31_8b,U_PT__L_PT,common_it,future_top1_flips,600,1.7372222222222224,1.8333333333333333,0.0,3.1749999999999923
llama31_8b,U_PT__L_PT,common_it,top5_churn,600,0.46537477954144624,0.47222222222222227,0.24302248677248678,0.6974537037037034
llama31_8b,U_PT__L_PT,common_it,top_choice_pt_rate,600,0.7333333333333333,440,,
llama31_8b,U_PT__L_PT,common_it,top_choice_it_rate,600,0.05333333333333334,32,,
llama31_8b,U_PT__L_PT,common_it,top_choice_other_rate,600,0.21333333333333335,128,,
llama31_8b,U_PT__L_PT,common_pt,it_vs_pt_margin,600,-2.2642626953125,-1.375,-7.628125,-0.125
llama31_8b,U_PT__L_PT,common_pt,it_rank,600,520.3216666666667,4.0,2.0,523.4999999999995
llama31_8b,U_PT__L_PT,common_pt,pt_rank,600,1.0033333333333334,1.0,1.0,1.0
llama31_8b,U_PT__L_PT,common_pt,late_kl_mean,600,3.837847785650797,4.008507490158081,0.8836708034787859,6.037110165187289
llama31_8b,U_PT__L_PT,common_pt,remaining_adj_js,600,0.5432923297390153,0.560157812666148,0.23680865397133555,0.7943857327258833
llama31_8b,U_PT__L_PT,common_pt,future_top1_flips,600,1.7680555555555555,1.8333333333333333,0.0,3.3333333333333335
llama31_8b,U_PT__L_PT,common_pt,top5_churn,600,0.4719675925925927,0.4794973544973545,0.23611111111111113,0.7023809523809524
llama31_8b,U_PT__L_PT,common_pt,top_choice_pt_rate,600,0.9866666666666667,592,,
llama31_8b,U_PT__L_PT,common_pt,top_choice_it_rate,600,0.006666666666666667,4,,
llama31_8b,U_PT__L_PT,common_pt,top_choice_other_rate,600,0.006666666666666667,4,,
llama31_8b,U_PT__L_IT,common_it,it_vs_pt_margin,600,-0.6610709635416666,-0.5,-6.815625,6.159374999999997
llama31_8b,U_PT__L_IT,common_it,it_rank,600,572.5233333333333,3.0,1.0,419.8999999999992
llama31_8b,U_PT__L_IT,common_it,pt_rank,600,187.93333333333334,2.0,1.0,1745.6999999999985
llama31_8b,U_PT__L_IT,common_it,late_kl_mean,600,3.507368409207667,3.764688117163522,0.6783022610204561,5.373377954959868
llama31_8b,U_PT__L_IT,common_it,remaining_adj_js,600,0.48232288907121273,0.5186836967865627,0.1480040084104985,0.7354273103643201
llama31_8b,U_PT__L_IT,common_it,future_top1_flips,600,1.5194444444444446,1.5,0.0,3.0
llama31_8b,U_PT__L_IT,common_it,top5_churn,600,0.43677579365079366,0.42658730158730157,0.22222222222222224,0.6629298941798939
llama31_8b,U_PT__L_IT,common_it,top_choice_pt_rate,600,0.4666666666666667,280,,
llama31_8b,U_PT__L_IT,common_it,top_choice_it_rate,600,0.27,162,,
llama31_8b,U_PT__L_IT,common_it,top_choice_other_rate,600,0.2633333333333333,158,,
llama31_8b,U_PT__L_IT,common_pt,it_vs_pt_margin,600,-1.4420328776041667,-0.75,-7.253125,1.75
llama31_8b,U_PT__L_IT,common_pt,it_rank,600,436.12,3.0,1.0,483.3499999999988
llama31_8b,U_PT__L_IT,common_pt,pt_rank,600,2.671666666666667,2.0,1.0,8.049999999999955
llama31_8b,U_PT__L_IT,common_pt,late_kl_mean,600,3.612217500950431,3.8273939830916266,0.6570178725889751,5.574926136221203
llama31_8b,U_PT__L_IT,common_pt,remaining_adj_js,600,0.48561989840097036,0.5187266419331233,0.14185215884742017,0.7486195663882727
llama31_8b,U_PT__L_IT,common_pt,future_top1_flips,600,1.5372222222222223,1.6666666666666667,0.0,3.0
llama31_8b,U_PT__L_IT,common_pt,top5_churn,600,0.44611662257495593,0.4424603174603175,0.22222222222222224,0.6744378306878303
llama31_8b,U_PT__L_IT,common_pt,top_choice_pt_rate,600,0.4166666666666667,250,,
llama31_8b,U_PT__L_IT,common_pt,top_choice_it_rate,600,0.23666666666666666,142,,
llama31_8b,U_PT__L_IT,common_pt,top_choice_other_rate,600,0.3466666666666667,208,,
llama31_8b,U_IT__L_PT,common_it,it_vs_pt_margin,600,1.85654541015625,0.625,-1.6312499999999996,10.689062499999999
llama31_8b,U_IT__L_PT,common_it,it_rank,600,28.266666666666666,1.0,1.0,13.049999999999955
llama31_8b,U_IT__L_PT,common_it,pt_rank,600,407.515,3.0,1.0,1853.349999999996
llama31_8b,U_IT__L_PT,common_it,late_kl_mean,600,3.7515019546759625,4.0177483558654785,0.9274742958801133,6.050005291189466
llama31_8b,U_IT__L_PT,common_it,remaining_adj_js,600,0.5856225708905792,0.6039172357801968,0.21885335660384347,0.9333498195434609
llama31_8b,U_IT__L_PT,common_it,future_top1_flips,600,1.5755555555555554,1.6666666666666667,0.0,3.3333333333333335
llama31_8b,U_IT__L_PT,common_it,top5_churn,600,0.4806205908289242,0.4794973544973545,0.24589947089947092,0.738988095238095
llama31_8b,U_IT__L_PT,common_it,top_choice_pt_rate,600,0.23166666666666666,139,,
llama31_8b,U_IT__L_PT,common_it,top_choice_it_rate,600,0.525,315,,
llama31_8b,U_IT__L_PT,common_it,top_choice_other_rate,600,0.24333333333333335,146,,
llama31_8b,U_IT__L_PT,common_pt,it_vs_pt_margin,600,1.1613997395833333,0.5,-2.003125,6.587499999999977
llama31_8b,U_IT__L_PT,common_pt,it_rank,600,313.6116666666667,1.0,1.0,14.049999999999955
llama31_8b,U_IT__L_PT,common_pt,pt_rank,600,38.638333333333335,2.5,1.0,132.29999999999973
llama31_8b,U_IT__L_PT,common_pt,late_kl_mean,600,3.8128050099721276,4.080455473491124,0.9929144767778261,6.2682801553181235
llama31_8b,U_IT__L_PT,common_pt,remaining_adj_js,600,0.5861541703877607,0.6035653129220009,0.23070423311437482,0.9291925435264904
llama31_8b,U_IT__L_PT,common_pt,future_top1_flips,600,1.5825,1.6666666666666667,0.0,3.3333333333333335
llama31_8b,U_IT__L_PT,common_pt,top5_churn,600,0.48277557319223985,0.4662698412698412,0.24302248677248678,0.75026455026455
llama31_8b,U_IT__L_PT,common_pt,top_choice_pt_rate,600,0.24333333333333335,146,,
llama31_8b,U_IT__L_PT,common_pt,top_choice_it_rate,600,0.5233333333333333,314,,
llama31_8b,U_IT__L_PT,common_pt,top_choice_other_rate,600,0.23333333333333334,140,,
llama31_8b,U_IT__L_IT,common_it,it_vs_pt_margin,600,3.9032503255208333,2.0,0.125,13.75
llama31_8b,U_IT__L_IT,common_it,it_rank,600,1.0033333333333334,1.0,1.0,1.0
llama31_8b,U_IT__L_IT,common_it,pt_rank,600,1186.2866666666666,4.0,2.0,6282.199999999953
llama31_8b,U_IT__L_IT,common_it,late_kl_mean,600,3.5191631824660696,3.68590429850987,0.6218013803873744,6.231173775557959
llama31_8b,U_IT__L_IT,common_it,remaining_adj_js,600,0.5035723702849848,0.5095495777204633,0.11822796842946748,0.9231734779973824
llama31_8b,U_IT__L_IT,common_it,future_top1_flips,600,1.3588888888888888,1.1666666666666667,0.0,3.0
llama31_8b,U_IT__L_IT,common_it,top5_churn,600,0.46277777777777773,0.4523809523809524,0.22222222222222224,0.7342592592592592
llama31_8b,U_IT__L_IT,common_it,top_choice_pt_rate,600,0.005,3,,
llama31_8b,U_IT__L_IT,common_it,top_choice_it_rate,600,0.995,597,,
llama31_8b,U_IT__L_IT,common_it,top_choice_other_rate,600,0.0,0,,
llama31_8b,U_IT__L_IT,common_pt,it_vs_pt_margin,600,3.354521484375,1.96875,-0.125,11.0625
llama31_8b,U_IT__L_IT,common_pt,it_rank,600,1.615,1.0,1.0,3.0499999999999545
llama31_8b,U_IT__L_IT,common_pt,pt_rank,600,402.05,4.5,1.0,472.0999999999981
llama31_8b,U_IT__L_IT,common_pt,late_kl_mean,600,3.7307222153259714,3.9642696380615234,0.6914505735039712,6.608880393845694
llama31_8b,U_IT__L_IT,common_pt,remaining_adj_js,600,0.5185969513759909,0.5108435167154918,0.13070330808016783,0.9479125818548102
llama31_8b,U_IT__L_IT,common_pt,future_top1_flips,600,1.373888888888889,1.3333333333333333,0.0,3.0083333333333258
llama31_8b,U_IT__L_IT,common_pt,top5_churn,600,0.47011022927689605,0.4662698412698412,0.22222222222222224,0.7371031746031744
llama31_8b,U_IT__L_IT,common_pt,top_choice_pt_rate,600,0.05,30,,
llama31_8b,U_IT__L_IT,common_pt,top_choice_it_rate,600,0.7083333333333334,425,,
llama31_8b,U_IT__L_IT,common_pt,top_choice_other_rate,600,0.24166666666666667,145,,
mistral_7b,U_PT__L_PT,common_it,it_vs_pt_margin,597,-1.8668079983249581,-1.3125,-5.3875,-0.0625
mistral_7b,U_PT__L_PT,common_it,it_rank,597,37.82077051926298,5.0,2.0,198.1999999999996
mistral_7b,U_PT__L_PT,common_it,pt_rank,597,1.0586264656616415,1.0,1.0,2.0
mistral_7b,U_PT__L_PT,common_it,late_kl_mean,597,2.4152781270880297,2.446095551763262,0.5948228589126042,4.598724218777246
