model,readout,metric,diag_worst_mean,offdiag_worst_mean,offdiag_minus_diag_worst,offdiag_over_diag_worst
gemma3_4b,common_it,late_kl_mean,1.3048105066523497,1.1275675889253174,-0.17724291772703227,0.8641619477898208
gemma3_4b,common_it,remaining_adj_js,0.3158562230167378,0.29323620553661506,-0.022620017480122767,0.9283850820981796
gemma3_4b,common_it,future_top1_flips,1.2561111111111112,1.1175,-0.13861111111111124,0.8896505970809375
gemma3_4b,common_it,top5_churn,0.3442140652557319,0.3209623015873016,-0.023251763668430292,0.9324496991395296
gemma3_4b,common_pt,late_kl_mean,1.4075883110067984,1.0706036392987395,-0.3369846717080589,0.7605942951692846
gemma3_4b,common_pt,remaining_adj_js,0.30887248476904794,0.29150208884353,-0.017370395925517923,0.9437619186490301
gemma3_4b,common_pt,future_top1_flips,1.1838888888888888,1.1577777777777778,-0.026111111111110974,0.977944626935711
gemma3_4b,common_pt,top5_churn,0.3526862874779541,0.3353913139329806,-0.017294973544973502,0.9509621605403227
llama31_8b,common_it,late_kl_mean,3.816624785807826,3.7515019546759625,-0.06512283113186346,0.9829370622509125
llama31_8b,common_it,remaining_adj_js,0.5455774538045777,0.5856225708905792,0.04004511708600156,1.0733995087347312
llama31_8b,common_it,future_top1_flips,1.7372222222222224,1.5755555555555554,-0.16166666666666707,0.906939558682443
llama31_8b,common_it,top5_churn,0.46537477954144624,0.4806205908289242,0.015245811287477984,1.0327602868864107
llama31_8b,common_pt,late_kl_mean,3.837847785650797,3.8128050099721276,-0.025042775678669305,0.9934747866311163
llama31_8b,common_pt,remaining_adj_js,0.5432923297390153,0.5861541703877607,0.04286184064874543,1.0788927770604368
llama31_8b,common_pt,future_top1_flips,1.7680555555555555,1.5825,-0.18555555555555547,0.8950510604870385
llama31_8b,common_pt,top5_churn,0.4719675925925927,0.48277557319223985,0.01080798059964716,1.0228998362795996
mistral_7b,common_it,late_kl_mean,3.2319668929849636,2.8272962444548795,-0.40467064853008416,0.8747912147836575
mistral_7b,common_it,remaining_adj_js,0.3362407747628457,0.30583350775103807,-0.030407267011807626,0.909566985047384
mistral_7b,common_it,future_top1_flips,1.464824120603015,1.410106085985483,-0.054718034617531996,0.9626453211358873
mistral_7b,common_it,top5_churn,0.38568947027908507,0.3758563540808097,-0.009833116198275371,0.974505095534083
mistral_7b,common_pt,late_kl_mean,3.2189022607909825,2.81317359317559,-0.4057286676153926,0.8739543376145591
mistral_7b,common_pt,remaining_adj_js,0.338253491430295,0.3051587208366629,-0.033094770593632084,0.9021598551616073
mistral_7b,common_pt,future_top1_flips,1.46677833612507,1.431602456728085,-0.035175879396984966,0.9760182717929197
mistral_7b,common_pt,top5_churn,0.3849605168700646,0.3781695071477317,-0.00679100972233293,0.982359204581427
olmo2_7b,common_it,late_kl_mean,2.4222624626188294,2.6013749272790516,0.17911246466022224,1.0739442844961462
olmo2_7b,common_it,remaining_adj_js,0.3759247107088958,0.39286747905445196,0.016942768345556136,1.0450695787292261
olmo2_7b,common_it,future_top1_flips,1.4129692832764504,1.5130830489192266,0.10011376564277619,1.0708534621578103
olmo2_7b,common_it,top5_churn,0.4202940751575564,0.4459511620347798,0.0256570868772234,1.0610455592732428
olmo2_7b,common_pt,late_kl_mean,2.311972000525364,2.4675372387536836,0.15556523822831947,1.0672868175708743
olmo2_7b,common_pt,remaining_adj_js,0.37031547518106334,0.3846483335621219,0.014332858381058577,1.03870445428739
olmo2_7b,common_pt,future_top1_flips,1.3993174061433447,1.4985779294653017,0.099260523321957,1.0709349593495936
olmo2_7b,common_pt,top5_churn,0.418237716019286,0.4454432797009589,0.02720556368167293,1.0650480878209903
qwen3_4b,common_it,late_kl_mean,2.8728287603668687,2.656263470025812,-0.21656529034105665,0.9246160114627227
qwen3_4b,common_it,remaining_adj_js,0.5408120353432996,0.5092311593250121,-0.03158087601828752,0.9416047092993401
qwen3_4b,common_it,future_top1_flips,1.7138095238095237,1.621904761904762,-0.09190476190476171,0.9463739927757712
qwen3_4b,common_it,top5_churn,0.426259448223734,0.412286470143613,-0.01397297808012099,0.9672195463623204
qwen3_4b,common_pt,late_kl_mean,2.050594786718164,1.835278079852765,-0.21531670686539917,0.8949979253531612
qwen3_4b,common_pt,remaining_adj_js,0.4497639020405067,0.4111397185528799,-0.038624183487626806,0.9141234249516356
qwen3_4b,common_pt,future_top1_flips,1.5085714285714285,1.3854761904761903,-0.12309523809523815,0.9184027777777778
qwen3_4b,common_pt,top5_churn,0.4027551020408164,0.3928665910808768,-0.00988851095993959,0.9754478319211026
