readout,variant,scope,n_models,n_units,it_drop,pt_drop,it_minus_pt_drop,diff_ci_low,diff_ci_high
common_it,opp_scale_0p5,dense5,5,2983,0.12149140546571043,0.12091658955190751,0.000574815913802873,-0.02946884281882739,0.030854901327070472
common_it,opp_scale_0p5,dense4_no_gemma,4,2383,-0.091416993167862,0.1647785494398844,-0.2561955426077464,-0.2872032632134234,-0.22571916350907903
common_it,opp_scale_0p5,family_median,5,2983,0.019616310720268006,0.09438616586626593,-0.23692708333333334,-0.2699873046875,-0.16109383570049415
common_it,noopp,dense5,5,2983,0.2581398757281287,0.18647645745432323,0.0716634182738054,0.02792016561565763,0.1163063516730191
common_it,noopp,dense4_no_gemma,4,2383,-0.11913830638150585,0.26357083223457073,-0.3827091386160766,-0.4224791122247305,-0.3441382529347367
common_it,noopp,family_median,5,2983,0.04016174623115578,0.1037252120190513,-0.26939526190123053,-0.3445179036458333,-0.16346648170679504
common_it,normpres_noopp,dense5,5,2983,0.2528975100519917,0.16531154590055622,0.08758596415143545,0.045054844681390566,0.12986053647069293
common_it,normpres_noopp,dense4_no_gemma,4,2383,-0.12505487024751036,0.23656130737569525,-0.36161617762320564,-0.3984795126335673,-0.3262548422085216
common_it,normpres_noopp,family_median,5,2983,0.021536458333333335,0.10553965389525118,-0.2669258898842457,-0.3181774088541667,-0.16135140604533435
common_it,flipopp,dense5,5,2983,0.4811122210579155,0.2614731177079665,0.21963910334994888,0.15369236157810426,0.28576215545008593
common_it,flipopp,dense4_no_gemma,4,2383,-0.13611948930260565,0.39016170963495816,-0.5262811989375639,-0.5809041522587387,-0.4697001261022993
common_it,flipopp,family_median,5,2983,0.09683835845896148,0.13170016750418762,-0.27058362472586256,-0.37541715494791666,-0.15774176958884814
common_it,randorth,dense5,5,2983,0.32150019649733774,0.13166379009893675,0.1898364063984011,0.1374320608883149,0.24176013714404498
common_it,randorth,dense4_no_gemma,4,2383,-0.042246933197772216,0.19711880012367095,-0.23936573332144317,-0.28844299070622703,-0.18809969858804354
common_it,randorth,family_median,5,2983,0.09773258654383027,0.08363010506309881,-0.020767144097222214,-0.13444357638888893,0.04182413805136795
common_pt,opp_scale_0p5,dense5,5,2983,0.11707148096496975,0.11756102719427082,-0.0004895462293010744,-0.03144761716820641,0.02943722701897502
common_pt,opp_scale_0p5,dense4_no_gemma,4,2383,-0.08863786233545448,0.16079242982617184,-0.24943029216162632,-0.28048071684389003,-0.21903521781171045
common_pt,opp_scale_0p5,family_median,5,2983,0.01803287269681742,0.09446723062430633,-0.21877604166666667,-0.25544531249999997,-0.15920249211476256
common_pt,noopp,dense5,5,2983,0.2483349763819634,0.18440896423360736,0.06392601214835601,0.018657983852890272,0.10892312252871547
common_pt,noopp,dense4_no_gemma,4,2383,-0.11698362327254583,0.2595086011253425,-0.3764922243978884,-0.41483912579549176,-0.3385699081844651
common_pt,noopp,family_median,5,2983,0.04347257118927973,0.10438280707740133,-0.2722555289089476,-0.34412083369852875,-0.17095031014074646
common_pt,normpres_noopp,dense5,5,2983,0.2411958560120892,0.16304714280992075,0.07814871320216847,0.03435153988486817,0.1216712212336861
common_pt,normpres_noopp,dense4_no_gemma,4,2383,-0.12538669040155512,0.23305372017906759,-0.3584404105806227,-0.3954133334350904,-0.3235779728988693
common_pt,normpres_noopp,family_median,5,2983,0.021081972361809045,0.10636838955277061,-0.2699403201353835,-0.315120915292473,-0.16779829778362076
common_pt,flipopp,dense5,5,2983,0.46260168314820527,0.2643017617371647,0.19829992141104058,0.12970807395762932,0.2671013072098528
common_pt,flipopp,dense4_no_gemma,4,2383,-0.1342316200230767,0.38917928550478914,-0.523410905527866,-0.577024810321982,-0.4690995621932262
common_pt,flipopp,family_median,5,2983,0.09847414154103852,0.12743404522613067,-0.274244672202413,-0.3734345823424668,-0.1632517825011101
common_pt,randorth,dense5,5,2983,0.3116221000964677,0.1314386799365143,0.1801834201599533,0.12743965188177517,0.23210134273762886
common_pt,randorth,dense4_no_gemma,4,2383,-0.04097367696274874,0.19407265547619845,-0.23504633243894724,-0.2843420243025586,-0.185492000339859
common_pt,randorth,family_median,5,2983,0.09856138330541596,0.0847354502130016,-0.0182986111111111,-0.1349665798611111,0.041852382572585126
