drop,drop_ci_high,drop_ci_low,interaction_full,interaction_variant,interaction_variant_ci_high,interaction_variant_ci_low,mean_opp_norm_frac,mean_postres_norm_ratio_after_hook,mean_update_norm_ratio_after_hook,mediation_fraction,mediation_fraction_ci_high,mediation_fraction_ci_low,n_models,n_units,readout,scope,seed_std_drop,subset,variant
2.9500390625,3.192169921875,2.7217057291666666,6.077890625,3.1278515625,3.316057942708333,2.931888346354167,0.03842536054261197,1.0000133139888445,1.0000000056624412,0.4853721865881718,0.5060371650719141,0.46615215882483885,1,600,common_it,model:gemma3_4b,,all,flipopp
-0.5998942057291666,-0.5154273071289064,-0.6803159993489584,1.25331787109375,1.8532120768229168,2.0376719156901038,1.6704112955729167,0.04133245606182918,1.039156986673673,1.0000000036641572,-0.47864489892388495,-0.3990845138122188,-0.5713892891352427,1,600,common_it,model:llama31_8b,,all,flipopp
0.11225911458333333,0.16508772786458326,0.058529947916666665,1.4641145833333333,1.35185546875,1.4902882486979165,1.21434375,0.035380176750713976,1.03837292060256,1.0000000015504305,0.07667372203052186,0.1098999867536847,0.04194250592080004,1,600,common_it,model:qwen3_4b,,all,flipopp
0.09683835845896148,0.12748737175460637,0.06726012876884421,2.5339981155778895,2.437159757118928,2.620830716080402,2.2664491075167503,0.019535618576276642,1.0179837851652762,1.0000000018432051,0.038215639492248425,0.048961502726506664,0.02742558493783641,1,597,common_it,model:mistral_7b,,all,flipopp
-0.15368122452355082,-0.0894904882020918,-0.21858221548816043,1.846658752233095,2.000339976756646,2.1882366828137294,1.8062174699412272,0.011189825386261705,1.0105605158680036,1.0000000025389482,-0.08322123637499884,-0.04813144310485008,-0.12072189887512284,1,586,common_it,model:olmo2_7b,,all,flipopp
2.67875,3.1387604166666665,2.2257812500000003,4.433333333333334,1.7545833333333334,2.0929374999999997,1.3981354166666669,0.03601698674230127,1.0000154599121638,1.0000000038317272,0.6042293233082706,0.6465460170474192,0.5601141412046867,1,75,common_it,model:gemma3_4b,,position_ge3,flipopp
-0.30459449404761907,-0.2365978422619048,-0.37900390624999997,0.13109188988095238,0.43568638392857145,0.5901309058779762,0.2976004464285714,0.03971052856012557,1.040290786915428,1.0000000043802864,-2.323518978361121,-1.0947995042029732,-11.822973836427227,1,168,common_it,model:llama31_8b,,position_ge3,flipopp
0.07212677725118484,0.14721934241706158,-0.001381072274881514,1.1546949052132702,1.0825681279620853,1.294690462085308,0.8849192831753554,0.03784341987984503,1.0436489965638036,1.0000000013720771,0.062463926120695186,0.12355858726201657,-0.001360765940823364,1,211,common_it,model:qwen3_4b,,position_ge3,flipopp
0.11246657754010696,0.15658422459893048,0.0706759692513369,1.183322192513369,1.070855614973262,1.250848094919786,0.9020596590909091,0.02966250496251305,1.0285725026942731,1.0000000016059665,0.0950430730122864,0.1288922332064687,0.061796643658948415,1,187,common_it,model:mistral_7b,,position_ge3,flipopp
-0.0857286753144654,0.0026041666666666665,-0.17080692315251572,0.6832930366947966,0.769021712009262,0.9507589040312376,0.5742841720581056,0.018680381191164004,1.019098207203155,1.000000003114321,-0.12546399671969355,0.0035182955918871433,-0.26596017645241266,1,159,common_it,model:olmo2_7b,,position_ge3,flipopp
