condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A2_beta_-3,exp3_alignment_behavior,behavior_match,0.5,150,A2,directional_add,1.0,-3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-3,exp3_reasoning_em,contains_em,0.0,200,A2,directional_add,1.0,-3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-3,format_compliance_v2,compliance_rate,0.14285714285714285,21,A2,directional_add,1.0,-3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-3,mmlu_forced_choice,accuracy,0.09,300,A2,directional_add,1.0,-3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-3,structural_token_ratio,ratio,0.02369047619047619,1400,A2,directional_add,1.0,-3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-5,exp3_alignment_behavior,behavior_match,0.5,150,A2,directional_add,1.0,-5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-5,exp3_reasoning_em,contains_em,0.0,200,A2,directional_add,1.0,-5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-5,format_compliance_v2,compliance_rate,0.21428571428571427,28,A2,directional_add,1.0,-5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-5,mmlu_forced_choice,accuracy,0.07333333333333333,300,A2,directional_add,1.0,-5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-5,structural_token_ratio,ratio,0.03119549902152642,1400,A2,directional_add,1.0,-5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0,exp3_alignment_behavior,behavior_match,0.5266666666666666,150,A2,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0,exp3_reasoning_em,contains_em,0.235,200,A2,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0,format_compliance_v2,compliance_rate,0.26136363636363635,176,A2,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0,mmlu_forced_choice,accuracy,0.48,300,A2,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0,structural_token_ratio,ratio,0.0242737022424762,1400,A2,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.25,exp3_alignment_behavior,behavior_match,0.5066666666666667,150,A2,directional_add,1.0,0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
