model,transition,earlier_stage,later_stage,earlier_repo,later_repo,records,first_diff_events,first_nonformat_events,first_assistant_marker_events,b_mid_it_match_rate,b_late_it_match_rate,b_midlate_it_match_rate,d_mid_pt_match_rate,d_late_pt_match_rate,c_late_margin_mean,b_late_margin_mean,b_midlate_margin_mean,d_late_margin_mean,interaction,interaction_ci_low,interaction_ci_high,late_effect_pt_upstream,late_effect_pt_upstream_ci_low,late_effect_pt_upstream_ci_high,late_effect_later_upstream,late_effect_later_upstream_ci_low,late_effect_later_upstream_ci_high,late_weight_effect,upstream_context_effect,exp23_units,exp23_prompt_clusters,label_swap_p_upper
olmo2_7b_pt_sft,PT->SFT,PT,SFT,allenai/OLMo-2-1124-7B,allenai/OLMo-2-1124-7B-SFT,600,551,392,94,0.2413793103448276,0.22686025408348456,0.40834845735027225,0.2885662431941924,0.22686025408348456,1.4176734328919012,0.029960203084236046,0.20678788477625906,0.4669497398196461,0.7822269640470806,0.6805445260880431,0.882043644996823,0.5461425227391958,0.42597862042878804,0.6794815416561063,1.3283694867862763,1.2080912249057998,1.4636053756880025,0.9372560047627361,2.3540422539961967,551,551,4.999750012499375e-05
olmo2_7b_sft_dpo,SFT->DPO,SFT,DPO,allenai/OLMo-2-1124-7B-SFT,allenai/OLMo-2-1124-7B-DPO,600,557,415,70,0.30700179533213645,0.2710951526032316,0.5709156193895871,0.289048473967684,0.25673249551166966,1.5894795114732945,0.7345582629876676,0.9714894594367145,1.059772375028052,0.1352249775583483,0.11442367033213645,0.15705404230251346,0.685550381508079,0.6132419771095152,0.768645155408438,0.8207753590664273,0.7470510267055656,0.8998835839317773,0.7531628702872532,0.9198482383303411,557,557,4.999750012499375e-05
olmo2_7b_dpo_rlvr,DPO->RLVR,DPO,RLVR,allenai/OLMo-2-1124-7B-DPO,allenai/OLMo-2-1124-7B-Instruct,600,466,356,35,0.3497854077253219,0.23390557939914164,0.43776824034334766,0.30472103004291845,0.23390557939914164,0.011733943300697425,-0.26403291235665904,-0.1851741152259925,-0.04714481206410944,0.01596030042918455,0.007711909871244635,0.025484509120171667,0.08208154506437768,0.06692596566523605,0.09985414431330471,0.09804184549356224,0.0802625402360515,0.11755800697424892,0.09006169527896996,0.32034603004291845,466,466,0.00014999250037498125
olmo2_7b,PT->RLVR,PT,RLVR,allenai/OLMo-2-1124-7B,allenai/OLMo-2-1124-7B-Instruct,600,586,386,115,0.18430034129692832,0.16723549488054607,0.36006825938566556,0.23890784982935154,0.21331058020477817,3.0331383402437075,-0.09410496213737202,0.25437265858308444,1.0912698218440033,1.9304599371379554,1.749426397121807,2.1123002976687695,0.7678344062570825,0.6113742463824692,0.9476696850903612,2.698294343395038,2.5319133140121304,2.8782373480422505,1.7330643748260601,3.671723339744802,586,586,4.999750012499375e-05
