model,result_root,layers,dict_config,n_rank_events,n_mediation_records,ve_pt_min,ve_it_min,effective_l0_mean,alive_fraction_min,alive_fraction_max,interaction_full,causal_top200_interaction_drop,causal_top200_ci_low,causal_top200_ci_high,causal_top200_mediation_fraction,causal_top200_fraction_ci_low,causal_top200_fraction_ci_high,causal_matched_random200_drop_mean,causal_matched_random200_drop_ci_low,causal_matched_random200_drop_ci_high,causal_matched_random200_mediation_fraction_mean,position_ge_3_mediation_fraction,layer_first_score_mass,layer_second_score_mass,final_layer_score_mass,quality_gate,paper_gate,missing_reason
gemma3_4b,results/exp34_dense5_final_readout_crosscoder/exp34_gemma3_4b_full_20260502_2110_a100x8_bs16/gemma3_4b/selected_d81920_k64,31 32 33,d81920_k64,160,,0.7862579226493835,0.7854118049144745,64.0,0.07663574069738388,0.09954833984375,6.0655894886363635,1.6945490056818182,1.476690340909091,1.9116614879261364,0.13900113998982927,0.01369579782285797,0.2430793844027446,-0.30980705492424243,-0.3684457859848485,-0.25549893465909096,-0.07269298843899594,0.33738738767149834,0.20058150298676805,0.17237097169188828,0.6270475253213441,pass,pass,
llama31_8b,results/exp30_final_readout_crosscoder_mediation/exp30_l31_paperfaithful_runpod_20260502_012105_a100x8/selected_d131072_k64,29 30 31,d131072_k64,160,9240,0.7913345545530319,0.7743606418371201,64.0,0.03318023681640625,0.09642791748046875,1.2356660582802512,0.5987082741477273,0.46879960493607953,0.7329341264204545,0.19925337919760797,0.031798846413174375,0.3665125834783198,-0.2094970703125,-0.2551318544330019,-0.16520885120738638,-0.14207844800709468,0.1769634558091123,0.10927405830410443,0.3389806500271818,0.5517452916687137,pass,pass,
qwen3_4b,results/exp34_dense5_final_readout_crosscoder/exp34_qwen3_4b_k128_reuse_20260502_205603_8gpu/qwen3_4b/selected_d81920_k128,33 34 35,d81920_k128,160,,0.7744480669498444,0.7451464533805847,128.0,0.19089356064796448,0.3047119081020355,1.51796875,0.3449573863636364,0.29431285511363636,0.4046910511363636,0.17307691043032436,0.11304190681738585,0.24482568965445645,-0.04068418560606061,-0.06467595880681819,-0.015012576941287886,-0.03660750061364187,0.1222052440389669,0.3451485309791927,0.17526105516293503,0.47959041385787227,fail,fail,
mistral_7b,results/exp34_dense5_final_readout_crosscoder/exp34_mistral_7b_full_20260502_1124/mistral_7b/selected_d131072_k64,29 30 31,d131072_k64,160,9177,0.8077437281608582,0.7855433374643326,64.0,0.04044342041015625,0.08899688720703125,2.6249284897025174,0.6844608123569794,0.5998176487414187,0.7637076301487414,0.33608242964839613,0.26225942945720937,0.4179923876693479,-0.09979262013729977,-0.15868760726544623,-0.04419217200610224,-0.08924957551099251,0.45090154575189917,0.14539773056109476,0.1647249990488032,0.6898772703901016,pass,pass,
olmo2_7b,results/exp34_dense5_final_readout_crosscoder/exp34_olmo2_7b_d196608_k96_20260502_205603_8gpu/olmo2_7b/selected_d196608_k96,29 30 31,d196608_k96,157,,0.8040096759796143,0.7043271958827972,96.0,0.1344095915555954,0.2077535092830658,2.067014734228174,0.4224344889322917,0.34579500140565816,0.5066199847312518,-0.0731565501216171,-1.1843845363652492,0.588228728590542,-0.05765704767779963,-0.09687115447689788,-0.0012334620572840849,0.38479845064926815,-1.6914714417972652,0.2049809841458669,0.28688807972654967,0.5081309361275833,fail,fail,
Dense-5 family mean,summary,,,797,18417,0.7927587896585464,0.7589578866958618,83.2,0.09511251002550125,0.15948771238327025,2.702233504169461,0.7490219934964906,0.4266984049479167,1.238108463666945,0.15485146182890813,0.02533683409915948,0.2640650678730684,-0.1434875957315805,-0.23931505655260538,-0.05929501734100405,0.008833987615708638,-0.12080276170515769,0.20107656139540536,0.2276451511314716,0.571278287473123,3/5 pass,3/5 pass,
Gemma-removed Dense-4,summary,,,637,18417,0.7943840064108372,0.7523444071412086,88.0,0.0997317023575306,0.17447255551815033,1.8613945080527357,0.5126402404501587,0.38369593764796406,0.6415845432523534,0.15881404228867785,-0.0050540677918108415,0.2953310498438782,-0.101907730933415,-0.17153706465382493,-0.04917061664193012,0.029215731629384775,-0.2353502990493217,0.2012003259975647,0.2414636959913674,0.5573359780110677,2/4 pass,2/4 pass,
family median,summary,,,797,18417,0.7913345545530319,0.7743606418371201,64.0,0.07663574069738388,0.09954833984375,2.067014734228174,0.5987082741477273,0.4266984049479167,1.238108463666945,0.17307691043032436,0.02533683409915948,0.2640650678730684,-0.09979262013729977,-0.23931505655260538,-0.05929501734100405,-0.07269298843899594,0.1769634558091123,0.20058150298676805,0.17526105516293503,0.5517452916687137,3/5 pass,3/5 pass,
trimmed mean,summary,,,797,18417,0.79386738439401,0.7683063000440598,74.66666666666667,0.08382958422104518,0.13457658886909485,2.069970657976897,0.5685345251456662,0.4266984049479167,1.238108463666945,0.1704438098725872,0.02533683409915948,0.2640650678730684,-0.12231557937586646,-0.23931505655260538,-0.05929501734100405,-0.06618335485454345,0.21218536250652584,0.1836534058979099,0.211506702193791,0.5623079177058804,3/5 pass,3/5 pass,
