condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1single_layer_28,exp3_reasoning_em,contains_em,0.535,400,A1_single_layer,directional_remove,0.0,0.0,[28]
A1single_layer_28,format_compliance_v2,compliance_rate,0.4725274725274725,364,A1_single_layer,directional_remove,0.0,0.0,[28]
A1single_layer_28,mmlu_forced_choice,accuracy,0.49666666666666665,600,A1_single_layer,directional_remove,0.0,0.0,[28]
A1single_layer_28,structural_token_ratio,ratio,0.05104025317844675,2800,A1_single_layer,directional_remove,0.0,0.0,[28]
A1single_layer_29,exp3_alignment_behavior,behavior_match,0.58,300,A1_single_layer,directional_remove,0.0,0.0,[29]
A1single_layer_29,exp3_reasoning_em,contains_em,0.555,400,A1_single_layer,directional_remove,0.0,0.0,[29]
A1single_layer_29,format_compliance_v2,compliance_rate,0.4835164835164835,364,A1_single_layer,directional_remove,0.0,0.0,[29]
A1single_layer_29,mmlu_forced_choice,accuracy,0.5166666666666667,600,A1_single_layer,directional_remove,0.0,0.0,[29]
A1single_layer_29,structural_token_ratio,ratio,0.049435611744804535,2800,A1_single_layer,directional_remove,0.0,0.0,[29]
A1single_layer_30,exp3_alignment_behavior,behavior_match,0.5733333333333334,300,A1_single_layer,directional_remove,0.0,0.0,[30]
A1single_layer_30,exp3_reasoning_em,contains_em,0.565,400,A1_single_layer,directional_remove,0.0,0.0,[30]
A1single_layer_30,format_compliance_v2,compliance_rate,0.4835164835164835,364,A1_single_layer,directional_remove,0.0,0.0,[30]
A1single_layer_30,mmlu_forced_choice,accuracy,0.5066666666666667,600,A1_single_layer,directional_remove,0.0,0.0,[30]
A1single_layer_30,structural_token_ratio,ratio,0.04941899156815666,2800,A1_single_layer,directional_remove,0.0,0.0,[30]
A1single_layer_31,exp3_alignment_behavior,behavior_match,0.54,300,A1_single_layer,directional_remove,0.0,0.0,[31]
A1single_layer_31,exp3_reasoning_em,contains_em,0.54,400,A1_single_layer,directional_remove,0.0,0.0,[31]
A1single_layer_31,format_compliance_v2,compliance_rate,0.44505494505494503,364,A1_single_layer,directional_remove,0.0,0.0,[31]
A1single_layer_31,mmlu_forced_choice,accuracy,0.5066666666666667,600,A1_single_layer,directional_remove,0.0,0.0,[31]
A1single_layer_31,structural_token_ratio,ratio,0.04964407609790211,2800,A1_single_layer,directional_remove,0.0,0.0,[31]
A1single_layer_32,exp3_alignment_behavior,behavior_match,0.5466666666666666,300,A1_single_layer,directional_remove,0.0,0.0,[32]
A1single_layer_32,exp3_reasoning_em,contains_em,0.54,400,A1_single_layer,directional_remove,0.0,0.0,[32]
A1single_layer_32,format_compliance_v2,compliance_rate,0.45604395604395603,364,A1_single_layer,directional_remove,0.0,0.0,[32]
A1single_layer_32,mmlu_forced_choice,accuracy,0.5133333333333333,600,A1_single_layer,directional_remove,0.0,0.0,[32]
A1single_layer_32,structural_token_ratio,ratio,0.05036400201143013,2800,A1_single_layer,directional_remove,0.0,0.0,[32]
A1single_layer_33,exp3_alignment_behavior,behavior_match,0.5866666666666667,300,A1_single_layer,directional_remove,0.0,0.0,[33]
A1single_layer_33,exp3_reasoning_em,contains_em,0.545,400,A1_single_layer,directional_remove,0.0,0.0,[33]
A1single_layer_33,format_compliance_v2,compliance_rate,0.4340659340659341,364,A1_single_layer,directional_remove,0.0,0.0,[33]
A1single_layer_33,mmlu_forced_choice,accuracy,0.5033333333333333,600,A1_single_layer,directional_remove,0.0,0.0,[33]
A1single_layer_33,structural_token_ratio,ratio,0.048888960350247056,2800,A1_single_layer,directional_remove,0.0,0.0,[33]
