position_filter,position_label,prompt_category,metric,estimate,ci95_low,ci95_high,n_models,n_prompt_clusters,reportable,model_counts,model_values
step_ge3,positions >=3,GOV-FORMAT,late_given_pt,0.6732038225446428,0.2009226771763393,1.1139916410900295,5,61,True,"{""gemma3_4b"": 7, ""llama31_8b"": 7, ""mistral_7b"": 16, ""olmo2_7b"": 7, ""qwen3_4b"": 24}","{""gemma3_4b"": 0.7142857142857143, ""llama31_8b"": 1.2020089285714286, ""mistral_7b"": 0.48046875, ""olmo2_7b"": 1.1079275948660714, ""qwen3_4b"": -0.138671875}"
step_ge3,positions >=3,GOV-FORMAT,late_given_it,2.9505929129464286,2.2613899158296134,3.662872023809523,5,61,True,"{""gemma3_4b"": 7, ""llama31_8b"": 7, ""mistral_7b"": 16, ""olmo2_7b"": 7, ""qwen3_4b"": 24}","{""gemma3_4b"": 5.589285714285714, ""llama31_8b"": 2.1160714285714284, ""mistral_7b"": 4.068359375, ""olmo2_7b"": 2.559326171875, ""qwen3_4b"": 0.419921875}"
step_ge3,positions >=3,SAFETY,interaction,0.6419631231398809,0.2829668317522322,0.9544687325613839,5,39,True,"{""gemma3_4b"": 3, ""llama31_8b"": 2, ""mistral_7b"": 14, ""olmo2_7b"": 4, ""qwen3_4b"": 16}","{""gemma3_4b"": 1.4583333333333333, ""llama31_8b"": 0.25, ""mistral_7b"": 1.0401785714285714, ""olmo2_7b"": 0.3597412109375, ""qwen3_4b"": 0.1015625}"
step_ge3,positions >=3,SAFETY,late_given_pt,0.19614025297619048,-0.21684186662946428,0.6871184430803571,5,39,True,"{""gemma3_4b"": 3, ""llama31_8b"": 2, ""mistral_7b"": 14, ""olmo2_7b"": 4, ""qwen3_4b"": 16}","{""gemma3_4b"": -0.3333333333333333, ""llama31_8b"": 0.0625, ""mistral_7b"": 0.5982142857142857, ""olmo2_7b"": 0.5009765625, ""qwen3_4b"": 0.15234375}"
step_ge3,positions >=3,SAFETY,late_given_it,0.8381033761160716,0.5110100446428572,1.1844710867745538,5,39,True,"{""gemma3_4b"": 3, ""llama31_8b"": 2, ""mistral_7b"": 14, ""olmo2_7b"": 4, ""qwen3_4b"": 16}","{""gemma3_4b"": 1.125, ""llama31_8b"": 0.3125, ""mistral_7b"": 1.6383928571428572, ""olmo2_7b"": 0.8607177734375, ""qwen3_4b"": 0.25390625}"
step_ge5,positions >=5,ALL,interaction,1.6388563719071523,1.3981154228511519,1.8973475783667708,5,495,True,"{""gemma3_4b"": 36, ""llama31_8b"": 104, ""mistral_7b"": 120, ""olmo2_7b"": 94, ""qwen3_4b"": 141}","{""gemma3_4b"": 4.890625, ""llama31_8b"": 0.11598557692307693, ""mistral_7b"": 1.22265625, ""olmo2_7b"": 0.8079893233928275, ""qwen3_4b"": 1.1570257092198581}"
step_ge5,positions >=5,ALL,late_given_pt,1.1428774969472433,0.913471614850827,1.3768319102174738,5,495,True,"{""gemma3_4b"": 36, ""llama31_8b"": 104, ""mistral_7b"": 120, ""olmo2_7b"": 94, ""qwen3_4b"": 141}","{""gemma3_4b"": 1.7760416666666667, ""llama31_8b"": 1.2391826923076923, ""mistral_7b"": 0.5625, ""olmo2_7b"": 1.3588484094498006, ""qwen3_4b"": 0.7778147163120568}"
step_ge5,positions >=5,ALL,late_given_it,2.781733868854396,2.4762074723820358,3.1154123278304127,5,495,True,"{""gemma3_4b"": 36, ""llama31_8b"": 104, ""mistral_7b"": 120, ""olmo2_7b"": 94, ""qwen3_4b"": 141}","{""gemma3_4b"": 6.666666666666667, ""llama31_8b"": 1.3551682692307692, ""mistral_7b"": 1.78515625, ""olmo2_7b"": 2.166837732842628, ""qwen3_4b"": 1.934840425531915}"
step_ge5,positions >=5,GOV-CONV,interaction,1.6311644714172548,1.351028056881387,1.9086298620330062,5,427,True,"{""gemma3_4b"": 29, ""llama31_8b"": 98, ""mistral_7b"": 99, ""olmo2_7b"": 86, ""qwen3_4b"": 115}","{""gemma3_4b"": 5.006465517241379, ""llama31_8b"": 0.11096938775510204, ""mistral_7b"": 0.9122474747474747, ""olmo2_7b"": 0.8007323686466661, ""qwen3_4b"": 1.325407608695652}"
step_ge5,positions >=5,GOV-CONV,late_given_pt,1.211703918864103,0.9492250801764034,1.4839501809790632,5,427,True,"{""gemma3_4b"": 29, ""llama31_8b"": 98, ""mistral_7b"": 99, ""olmo2_7b"": 86, ""qwen3_4b"": 115}","{""gemma3_4b"": 1.9331896551724137, ""llama31_8b"": 1.222576530612245, ""mistral_7b"": 0.5928030303030303, ""olmo2_7b"": 1.383319943450218, ""qwen3_4b"": 0.9266304347826086}"
step_ge5,positions >=5,GOV-CONV,late_given_it,2.842868390281358,2.512385218131054,3.2147093092742085,5,427,True,"{""gemma3_4b"": 29, ""llama31_8b"": 98, ""mistral_7b"": 99, ""olmo2_7b"": 86, ""qwen3_4b"": 115}","{""gemma3_4b"": 6.939655172413793, ""llama31_8b"": 1.333545918367347, ""mistral_7b"": 1.505050505050505, ""olmo2_7b"": 2.184052312096884, ""qwen3_4b"": 2.2520380434782608}"
step_ge5,positions >=5,GOV-FORMAT,interaction,2.2572239296109067,1.704717664531633,2.8194680546779254,5,47,True,"{""gemma3_4b"": 6, ""llama31_8b"": 6, ""mistral_7b"": 12, ""olmo2_7b"": 6, ""qwen3_4b"": 17}","{""gemma3_4b"": 5.208333333333333, ""llama31_8b"": 0.19791666666666666, ""mistral_7b"": 4.065104166666667, ""olmo2_7b"": 1.12542724609375, ""qwen3_4b"": 0.6893382352941176}"
step_ge5,positions >=5,GOV-FORMAT,late_given_pt,0.8143394320618873,0.18999465044806982,1.353937120624617,5,47,True,"{""gemma3_4b"": 6, ""llama31_8b"": 6, ""mistral_7b"": 12, ""olmo2_7b"": 6, ""qwen3_4b"": 17}","{""gemma3_4b"": 0.9375, ""llama31_8b"": 1.5104166666666667, ""mistral_7b"": 0.3645833333333333, ""olmo2_7b"": 1.1755574544270833, ""qwen3_4b"": 0.08363970588235294}"
step_ge5,positions >=5,GOV-FORMAT,late_given_it,3.071563361672794,2.302472378599877,3.881034880993412,5,47,True,"{""gemma3_4b"": 6, ""llama31_8b"": 6, ""mistral_7b"": 12, ""olmo2_7b"": 6, ""qwen3_4b"": 17}","{""gemma3_4b"": 6.145833333333333, ""llama31_8b"": 1.7083333333333333, ""mistral_7b"": 4.4296875, ""olmo2_7b"": 2.3009847005208335, ""qwen3_4b"": 0.7729779411764706}"
step_ge5,positions >=5,SAFETY,interaction,0.1322089301215278,,,4,21,False,"{""gemma3_4b"": 1, ""mistral_7b"": 9, ""olmo2_7b"": 2, ""qwen3_4b"": 9}","{""gemma3_4b"": -0.375, ""mistral_7b"": 0.8472222222222222, ""olmo2_7b"": 0.167724609375, ""qwen3_4b"": -0.1111111111111111}"
step_ge5,positions >=5,SAFETY,late_given_pt,0.9467502170138888,,,4,21,False,"{""gemma3_4b"": 1, ""mistral_7b"": 9, ""olmo2_7b"": 2, ""qwen3_4b"": 9}","{""gemma3_4b"": 2.25, ""mistral_7b"": 0.4930555555555556, ""olmo2_7b"": 0.8564453125, ""qwen3_4b"": 0.1875}"
step_ge5,positions >=5,SAFETY,late_given_it,1.0789591471354165,,,4,21,False,"{""gemma3_4b"": 1, ""mistral_7b"": 9, ""olmo2_7b"": 2, ""qwen3_4b"": 9}","{""gemma3_4b"": 1.875, ""mistral_7b"": 1.3402777777777777, ""olmo2_7b"": 1.024169921875, ""qwen3_4b"": 0.0763888888888889}"
