position_stratum,model,records,interaction,ci_low,ci_high
all positions,gemma3_4b,600,6.077890625,5.727649739583334,6.43573828125
all positions,qwen3_4b,600,1.4641145833333333,1.3197884114583334,1.611546875
all positions,llama31_8b,600,1.25331787109375,1.0983341267903646,1.4295677490234373
all positions,mistral_7b,597,2.5339981155778895,2.350526722152429,2.7281302345058625
all positions,olmo2_7b,586,1.846658752233095,1.6782655419750019,2.0303204650358126
positions >=1,gemma3_4b,285,6.677138157894737,6.118203125000001,7.258776041666667
positions >=1,qwen3_4b,308,1.0970474837662338,0.9169439935064935,1.2816634537337661
positions >=1,llama31_8b,244,0.41505507172131145,0.27049180327868855,0.5859142866290984
positions >=1,mistral_7b,413,2.1568931598062955,1.9541445974576273,2.3709547139830507
positions >=1,olmo2_7b,234,0.8950332250350561,0.7292497365902632,1.0774183672717494
positions >=2,gemma3_4b,98,4.619897959183674,3.9846938775510203,5.275542091836735
positions >=2,qwen3_4b,241,1.1543698132780082,0.9487081820539419,1.3625664548755185
positions >=2,llama31_8b,197,0.16509359137055837,0.06037139118020305,0.26707348508883233
positions >=2,mistral_7b,396,2.205295138888889,1.9955650252525254,2.4212999131944444
positions >=2,olmo2_7b,191,0.7224087939836592,0.5498720638414952,0.8713162726756789
positions >=3,gemma3_4b,75,4.433333333333334,3.7064583333333334,5.112541666666666
positions >=3,qwen3_4b,211,1.1546949052132702,0.9480061463270142,1.381253702606635
positions >=3,llama31_8b,168,0.13109188988095238,0.0118896484375,0.24940243675595233
positions >=3,mistral_7b,187,1.183322192513369,1.0083347259358288,1.3810745320855613
positions >=3,olmo2_7b,159,0.6832930366947966,0.4928541087504453,0.8494690517209611
positions >=4,gemma3_4b,55,4.384090909090909,3.5011079545454544,5.213778409090908
positions >=4,qwen3_4b,173,1.19698338150289,0.953384664017341,1.4678626264450867
positions >=4,llama31_8b,133,0.13410479323308272,-0.009398496240601503,0.28203712406015025
positions >=4,mistral_7b,157,1.1749601910828025,0.977483081210191,1.3994924363057324
positions >=4,olmo2_7b,123,0.7087909109224149,0.48929495617626156,0.9098074424557568
position >=5,gemma3_4b,36,4.890625,3.739539930555556,5.982899305555555
position >=5,qwen3_4b,141,1.1570257092198581,0.8792054521276597,1.4356410682624112
position >=5,llama31_8b,104,0.11598557692307693,-0.046980168269230765,0.2692307692307692
position >=5,mistral_7b,120,1.22265625,0.9788997395833333,1.4956119791666664
position >=5,olmo2_7b,94,0.8079893233928275,0.6160191475076878,0.9930559523562161
position >=10,gemma3_4b,8,3.2890625,0.1171875,6.734765624999998
position >=10,qwen3_4b,50,1.34375,0.84309375,1.8569374999999997
position >=10,llama31_8b,30,0.18541666666666667,-0.22093749999999998,0.5438541666666661
position >=10,mistral_7b,35,1.4473214285714286,0.9373660714285714,2.09734375
position >=10,olmo2_7b,17,1.2059613396139706,0.8257715561810662,1.6412997975068935
