level,model,pipeline,side,host_variant,donor_variant,baseline_pipeline,window_name,start_layer,end_layer_exclusive,width,center,region,metric,estimate,ci95_low,ci95_high,n_pairs,n_prompt_clusters,n_models,models
model,gemma3_4b,D_lws_terminal_quarter_ptswap,pt_swap_into_it,it,pt,C_it_chat,terminal_quarter,30,34,4,31.5,graft_window,kl_to_own_final,-0.2725380699565747,-0.3056139200393082,-0.24346548122472395,72517,600,,
model,qwen3_4b,B_lws_late_center_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_center_half,26,33,7,29.0,final_20pct,kl_to_own_final,0.04036926038227456,0.035287373774355146,0.045615029003089634,67331,600,,
model,qwen3_4b,B_lws_late_center_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_center_half,26,33,7,29.0,graft_window,kl_to_own_final,0.12081464260975411,0.11346202725916935,0.1285898844835861,67331,600,,
model,qwen3_4b,B_lws_late_front_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_front_half,22,29,7,25.0,final_20pct,kl_to_own_final,0.030047862215324014,0.02391156148387271,0.03652973839908469,67331,600,,
model,qwen3_4b,B_lws_late_front_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_front_half,22,29,7,25.0,graft_window,kl_to_own_final,0.19697257613331423,0.18374739996290423,0.21039721229096353,67331,600,,
model,qwen3_4b,B_lws_late_full_raw,it_graft_into_pt,pt,it,A_prime_raw,late_full,22,36,14,28.5,final_20pct,kl_to_own_final,0.294678088219251,0.2768899394294113,0.31357423357620934,67331,600,,
model,qwen3_4b,B_lws_late_full_raw,it_graft_into_pt,pt,it,A_prime_raw,late_full,22,36,14,28.5,graft_window,kl_to_own_final,0.7125889275423282,0.6857677540365189,0.7418243143209919,67331,600,,
model,qwen3_4b,B_lws_late_terminal_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_terminal_half,29,36,7,32.0,final_20pct,kl_to_own_final,0.26576391238387115,0.24997607446964912,0.2826643668110159,67331,600,,
model,qwen3_4b,B_lws_late_terminal_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_terminal_half,29,36,7,32.0,graft_window,kl_to_own_final,0.21401690789383584,0.20006971891233544,0.2293226291726351,67331,600,,
model,qwen3_4b,B_lws_prelate_half_raw,it_graft_into_pt,pt,it,A_prime_raw,prelate_half,15,22,7,18.0,final_20pct,kl_to_own_final,-0.01179533940496226,-0.019700812042285767,-0.004335362551810905,67331,600,,
