condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1randmatched_alpha_-5,structural_token_ratio,ratio,0.07377982149051159,1400,A1_rand_matched,directional_random_matched,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0,exp3_alignment_behavior,behavior_match,0.7466666666666667,150,A1_rand_matched,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0,exp3_reasoning_em,contains_em,0.485,200,A1_rand_matched,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0,format_compliance_v2,compliance_rate,0.4010989010989011,182,A1_rand_matched,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_rand_matched,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0,structural_token_ratio,ratio,0.044503526441605816,1400,A1_rand_matched,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.25,exp3_alignment_behavior,behavior_match,0.6266666666666667,150,A1_rand_matched,directional_random_matched,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.25,exp3_reasoning_em,contains_em,0.5,200,A1_rand_matched,directional_random_matched,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.25,format_compliance_v2,compliance_rate,0.3791208791208791,182,A1_rand_matched,directional_random_matched,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.25,mmlu_forced_choice,accuracy,0.5,300,A1_rand_matched,directional_random_matched,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.25,structural_token_ratio,ratio,0.04631053308267732,1400,A1_rand_matched,directional_random_matched,0.25,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.5,exp3_alignment_behavior,behavior_match,0.6266666666666667,150,A1_rand_matched,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.5,exp3_reasoning_em,contains_em,0.52,200,A1_rand_matched,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.5,format_compliance_v2,compliance_rate,0.4340659340659341,182,A1_rand_matched,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.5,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_rand_matched,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_0.5,structural_token_ratio,ratio,0.04720412236184066,1400,A1_rand_matched,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
