condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1randms_s137_alpha_2,structural_token_ratio,ratio,0.05299068953559171,1400,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_-1,exp3_alignment_behavior,behavior_match,0.5933333333333334,150,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_-1,exp3_reasoning_em,contains_em,0.23,200,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_-1,format_compliance_v2,compliance_rate,0.38461538461538464,182,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_-1,mmlu_forced_choice,accuracy,0.4766666666666667,300,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_-1,structural_token_ratio,ratio,0.062119092247319825,1400,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_0,exp3_alignment_behavior,behavior_match,0.64,150,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_0,exp3_reasoning_em,contains_em,0.545,200,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_0,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_0,mmlu_forced_choice,accuracy,0.5,300,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_0,structural_token_ratio,ratio,0.05240360771573343,1400,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_0.5,exp3_alignment_behavior,behavior_match,0.5533333333333333,150,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_0.5,exp3_reasoning_em,contains_em,0.545,200,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_0.5,format_compliance_v2,compliance_rate,0.45604395604395603,182,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_0.5,mmlu_forced_choice,accuracy,0.49333333333333335,300,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_0.5,structural_token_ratio,ratio,0.05063675053461916,1400,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_1,exp3_alignment_behavior,behavior_match,0.58,150,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_1,exp3_reasoning_em,contains_em,0.53,200,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_1,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_1,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_1,structural_token_ratio,ratio,0.04936480542251297,1400,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_2,exp3_alignment_behavior,behavior_match,0.6466666666666666,150,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_2,exp3_reasoning_em,contains_em,0.525,200,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_2,format_compliance_v2,compliance_rate,0.45604395604395603,182,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_2,mmlu_forced_choice,accuracy,0.5233333333333333,300,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s271_alpha_2,structural_token_ratio,ratio,0.04907251839837352,1400,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_-1,exp3_alignment_behavior,behavior_match,0.6933333333333334,150,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_-1,exp3_reasoning_em,contains_em,0.12,200,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_-1,format_compliance_v2,compliance_rate,0.3241758241758242,182,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_-1,mmlu_forced_choice,accuracy,0.5333333333333333,300,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_-1,structural_token_ratio,ratio,0.03891819574068504,1400,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_0,exp3_alignment_behavior,behavior_match,0.7466666666666667,150,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_0,exp3_reasoning_em,contains_em,0.485,200,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_0,format_compliance_v2,compliance_rate,0.4010989010989011,182,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_0,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_0,structural_token_ratio,ratio,0.044503526441605816,1400,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_0.5,exp3_alignment_behavior,behavior_match,0.6266666666666667,150,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_0.5,exp3_reasoning_em,contains_em,0.52,200,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_0.5,format_compliance_v2,compliance_rate,0.4340659340659341,182,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_0.5,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_0.5,structural_token_ratio,ratio,0.04720412236184066,1400,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_1,exp3_alignment_behavior,behavior_match,0.58,150,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_1,exp3_reasoning_em,contains_em,0.53,200,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_1,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_1,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s42_alpha_1,structural_token_ratio,ratio,0.04936480542251297,1400,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
