layer_range,alpha,benchmark,value,condition
20-31,0.25,exp3_reasoning_em,0.515,A1_alpha_0.25
20-31,0.5,exp3_reasoning_em,0.555,A1_alpha_0.5
20-31,0.75,exp3_reasoning_em,0.535,A1_alpha_0.75
20-31,1.0,exp3_reasoning_em,0.53,A1_alpha_1
20-31,1.5,exp3_reasoning_em,0.525,A1_alpha_1.5
20-31,2.0,exp3_reasoning_em,0.505,A1_alpha_2
20-31,3.0,exp3_reasoning_em,0.125,A1_alpha_3
20-31,5.0,exp3_reasoning_em,0.005,A1_alpha_5
20-33,-5.0,exp3_reasoning_em,0.02,A1_alpha_-5
20-33,-3.0,exp3_reasoning_em,0.045,A1_alpha_-3
20-33,-2.0,exp3_reasoning_em,0.11,A1_alpha_-2
20-33,-1.0,exp3_reasoning_em,0.295,A1_alpha_-1
20-33,-0.5,exp3_reasoning_em,0.415,A1_alpha_-0.5
20-33,0.0,exp3_reasoning_em,0.505,A1_alpha_0
20-33,0.25,exp3_reasoning_em,0.535,A1_alpha_0.25
20-33,0.5,exp3_reasoning_em,0.585,A1_alpha_0.5
20-33,0.75,exp3_reasoning_em,0.52,A1_alpha_0.75
20-33,1.0,exp3_reasoning_em,0.53,A1_alpha_1
20-33,1.5,exp3_reasoning_em,0.535,A1_alpha_1.5
20-33,2.0,exp3_reasoning_em,0.49,A1_alpha_2
20-33,3.0,exp3_reasoning_em,0.125,A1_alpha_3
20-33,5.0,exp3_reasoning_em,0.0,A1_alpha_5
22-33,-5.0,exp3_reasoning_em,0.145,A1_alpha_-5
22-33,-3.0,exp3_reasoning_em,0.21,A1_alpha_-3
22-33,-2.0,exp3_reasoning_em,0.36,A1_alpha_-2
22-33,-1.0,exp3_reasoning_em,0.46,A1_alpha_-1
22-33,-0.5,exp3_reasoning_em,0.525,A1_alpha_-0.5
22-33,0.0,exp3_reasoning_em,0.48,A1_alpha_0
22-33,0.25,exp3_reasoning_em,0.54,A1_alpha_0.25
22-33,0.5,exp3_reasoning_em,0.555,A1_alpha_0.5
