model,model_label,variant,layer,n_layers,normalized_depth,mean_delta_cosine
llama31_8b,Llama 3.1 8B,pt,23,32,0.7419,0.173662
llama31_8b,Llama 3.1 8B,pt,24,32,0.7742,0.168235
llama31_8b,Llama 3.1 8B,pt,25,32,0.8065,0.176335
llama31_8b,Llama 3.1 8B,pt,26,32,0.8387,0.211713
llama31_8b,Llama 3.1 8B,pt,27,32,0.871,0.173856
llama31_8b,Llama 3.1 8B,pt,28,32,0.9032,0.190651
llama31_8b,Llama 3.1 8B,pt,29,32,0.9355,0.07651
llama31_8b,Llama 3.1 8B,pt,30,32,0.9677,0.022824
llama31_8b,Llama 3.1 8B,pt,31,32,1.0,-0.278011
llama31_8b,Llama 3.1 8B,it,0,32,0.0,nan
llama31_8b,Llama 3.1 8B,it,1,32,0.0323,0.147618
llama31_8b,Llama 3.1 8B,it,2,32,0.0645,0.177988
llama31_8b,Llama 3.1 8B,it,3,32,0.0968,0.122051
llama31_8b,Llama 3.1 8B,it,4,32,0.129,-0.015195
llama31_8b,Llama 3.1 8B,it,5,32,0.1613,-0.095456
llama31_8b,Llama 3.1 8B,it,6,32,0.1935,-0.143471
llama31_8b,Llama 3.1 8B,it,7,32,0.2258,-0.171145
llama31_8b,Llama 3.1 8B,it,8,32,0.2581,-0.182798
llama31_8b,Llama 3.1 8B,it,9,32,0.2903,-0.146499
llama31_8b,Llama 3.1 8B,it,10,32,0.3226,-0.174521
llama31_8b,Llama 3.1 8B,it,11,32,0.3548,-0.193441
llama31_8b,Llama 3.1 8B,it,12,32,0.3871,-0.15542
llama31_8b,Llama 3.1 8B,it,13,32,0.4194,-0.121678
llama31_8b,Llama 3.1 8B,it,14,32,0.4516,-0.145948
llama31_8b,Llama 3.1 8B,it,15,32,0.4839,-0.083806
llama31_8b,Llama 3.1 8B,it,16,32,0.5161,-0.039196
llama31_8b,Llama 3.1 8B,it,17,32,0.5484,0.003802
llama31_8b,Llama 3.1 8B,it,18,32,0.5806,0.034426
llama31_8b,Llama 3.1 8B,it,19,32,0.6129,0.040112
llama31_8b,Llama 3.1 8B,it,20,32,0.6452,0.039288
llama31_8b,Llama 3.1 8B,it,21,32,0.6774,0.140286
llama31_8b,Llama 3.1 8B,it,22,32,0.7097,0.127022
llama31_8b,Llama 3.1 8B,it,23,32,0.7419,0.162303
llama31_8b,Llama 3.1 8B,it,24,32,0.7742,0.144047
llama31_8b,Llama 3.1 8B,it,25,32,0.8065,0.15822
llama31_8b,Llama 3.1 8B,it,26,32,0.8387,0.211909
llama31_8b,Llama 3.1 8B,it,27,32,0.871,0.159081
llama31_8b,Llama 3.1 8B,it,28,32,0.9032,0.169089
llama31_8b,Llama 3.1 8B,it,29,32,0.9355,0.100847
llama31_8b,Llama 3.1 8B,it,30,32,0.9677,0.024567
llama31_8b,Llama 3.1 8B,it,31,32,1.0,-0.289092
qwen3_4b,Qwen 3 4B,pt,0,36,0.0,nan
qwen3_4b,Qwen 3 4B,pt,1,36,0.0286,0.370951
qwen3_4b,Qwen 3 4B,pt,2,36,0.0571,0.331043
qwen3_4b,Qwen 3 4B,pt,3,36,0.0857,0.376677
qwen3_4b,Qwen 3 4B,pt,4,36,0.1143,0.391093
qwen3_4b,Qwen 3 4B,pt,5,36,0.1429,0.359714
qwen3_4b,Qwen 3 4B,pt,6,36,0.1714,0.139983
qwen3_4b,Qwen 3 4B,pt,7,36,0.2,0.053305
qwen3_4b,Qwen 3 4B,pt,8,36,0.2286,0.00942
qwen3_4b,Qwen 3 4B,pt,9,36,0.2571,-0.147743
qwen3_4b,Qwen 3 4B,pt,10,36,0.2857,-0.152064
qwen3_4b,Qwen 3 4B,pt,11,36,0.3143,-0.085263
qwen3_4b,Qwen 3 4B,pt,12,36,0.3429,-0.122991
qwen3_4b,Qwen 3 4B,pt,13,36,0.3714,-0.147433
qwen3_4b,Qwen 3 4B,pt,14,36,0.4,-0.126794
qwen3_4b,Qwen 3 4B,pt,15,36,0.4286,-0.130497
qwen3_4b,Qwen 3 4B,pt,16,36,0.4571,-0.061335
qwen3_4b,Qwen 3 4B,pt,17,36,0.4857,0.005861
qwen3_4b,Qwen 3 4B,pt,18,36,0.5143,0.050864
qwen3_4b,Qwen 3 4B,pt,19,36,0.5429,0.166025
qwen3_4b,Qwen 3 4B,pt,20,36,0.5714,0.026135
qwen3_4b,Qwen 3 4B,pt,21,36,0.6,0.012803
qwen3_4b,Qwen 3 4B,pt,22,36,0.6286,0.083286
qwen3_4b,Qwen 3 4B,pt,23,36,0.6571,0.275244
qwen3_4b,Qwen 3 4B,pt,24,36,0.6857,0.3263
qwen3_4b,Qwen 3 4B,pt,25,36,0.7143,0.235057
qwen3_4b,Qwen 3 4B,pt,26,36,0.7429,0.266822
qwen3_4b,Qwen 3 4B,pt,27,36,0.7714,0.256443
qwen3_4b,Qwen 3 4B,pt,28,36,0.8,0.266123
qwen3_4b,Qwen 3 4B,pt,29,36,0.8286,0.310517
qwen3_4b,Qwen 3 4B,pt,30,36,0.8571,0.41629
qwen3_4b,Qwen 3 4B,pt,31,36,0.8857,0.35292
qwen3_4b,Qwen 3 4B,pt,32,36,0.9143,0.321291
qwen3_4b,Qwen 3 4B,pt,33,36,0.9429,0.360582
qwen3_4b,Qwen 3 4B,pt,34,36,0.9714,0.478814
qwen3_4b,Qwen 3 4B,pt,35,36,1.0,-0.44503
qwen3_4b,Qwen 3 4B,it,0,36,0.0,nan
qwen3_4b,Qwen 3 4B,it,1,36,0.0286,0.383204
qwen3_4b,Qwen 3 4B,it,2,36,0.0571,0.316842
qwen3_4b,Qwen 3 4B,it,3,36,0.0857,0.349453
qwen3_4b,Qwen 3 4B,it,4,36,0.1143,0.357019
qwen3_4b,Qwen 3 4B,it,5,36,0.1429,0.326716
qwen3_4b,Qwen 3 4B,it,6,36,0.1714,0.108007
qwen3_4b,Qwen 3 4B,it,7,36,0.2,0.016766
qwen3_4b,Qwen 3 4B,it,8,36,0.2286,-0.016153
qwen3_4b,Qwen 3 4B,it,9,36,0.2571,-0.168572
qwen3_4b,Qwen 3 4B,it,10,36,0.2857,-0.178059
qwen3_4b,Qwen 3 4B,it,11,36,0.3143,-0.105205
qwen3_4b,Qwen 3 4B,it,12,36,0.3429,-0.103165
qwen3_4b,Qwen 3 4B,it,13,36,0.3714,-0.132041
qwen3_4b,Qwen 3 4B,it,14,36,0.4,-0.105111
qwen3_4b,Qwen 3 4B,it,15,36,0.4286,-0.098458
qwen3_4b,Qwen 3 4B,it,16,36,0.4571,-0.063771
qwen3_4b,Qwen 3 4B,it,17,36,0.4857,0.007356
qwen3_4b,Qwen 3 4B,it,18,36,0.5143,0.087822
qwen3_4b,Qwen 3 4B,it,19,36,0.5429,0.221801
qwen3_4b,Qwen 3 4B,it,20,36,0.5714,0.047354
qwen3_4b,Qwen 3 4B,it,21,36,0.6,0.047693
qwen3_4b,Qwen 3 4B,it,22,36,0.6286,0.072536
qwen3_4b,Qwen 3 4B,it,23,36,0.6571,0.310612
qwen3_4b,Qwen 3 4B,it,24,36,0.6857,0.385801
qwen3_4b,Qwen 3 4B,it,25,36,0.7143,0.251007
qwen3_4b,Qwen 3 4B,it,26,36,0.7429,0.301653
qwen3_4b,Qwen 3 4B,it,27,36,0.7714,0.278193
qwen3_4b,Qwen 3 4B,it,28,36,0.8,0.288439
qwen3_4b,Qwen 3 4B,it,29,36,0.8286,0.328481
qwen3_4b,Qwen 3 4B,it,30,36,0.8571,0.443184
qwen3_4b,Qwen 3 4B,it,31,36,0.8857,0.389004
qwen3_4b,Qwen 3 4B,it,32,36,0.9143,0.34745
qwen3_4b,Qwen 3 4B,it,33,36,0.9429,0.408965
qwen3_4b,Qwen 3 4B,it,34,36,0.9714,0.549107
qwen3_4b,Qwen 3 4B,it,35,36,1.0,-0.583157
mistral_7b,Mistral 7B v0.3,pt,0,32,0.0,nan
mistral_7b,Mistral 7B v0.3,pt,1,32,0.0323,0.161351
mistral_7b,Mistral 7B v0.3,pt,2,32,0.0645,0.251973
mistral_7b,Mistral 7B v0.3,pt,3,32,0.0968,0.195109
mistral_7b,Mistral 7B v0.3,pt,4,32,0.129,0.154337
mistral_7b,Mistral 7B v0.3,pt,5,32,0.1613,0.08016
mistral_7b,Mistral 7B v0.3,pt,6,32,0.1935,0.023541
mistral_7b,Mistral 7B v0.3,pt,7,32,0.2258,-0.01932
mistral_7b,Mistral 7B v0.3,pt,8,32,0.2581,-0.067904
mistral_7b,Mistral 7B v0.3,pt,9,32,0.2903,-0.015963
