model,model_label,layer,n_layers,normalized_depth,pt_mean_entropy_nats,it_mean_entropy_nats,it_minus_pt_entropy,pt_sem,it_sem
llama31_8b,Llama 3.1 8B,25,32,0.8065,0.70279,0.718873,0.016083,0.006362,0.006082
llama31_8b,Llama 3.1 8B,26,32,0.8387,1.053415,1.069577,0.016162,0.008074,0.007856
llama31_8b,Llama 3.1 8B,27,32,0.871,1.019296,1.005456,-0.01384,0.007677,0.007399
llama31_8b,Llama 3.1 8B,28,32,0.9032,1.04828,1.105787,0.057507,0.006951,0.006918
llama31_8b,Llama 3.1 8B,29,32,0.9355,0.883265,0.998419,0.115155,0.006323,0.006947
llama31_8b,Llama 3.1 8B,30,32,0.9677,1.516228,1.58288,0.066652,0.009097,0.0107
llama31_8b,Llama 3.1 8B,31,32,1.0,1.146718,1.186636,0.039918,0.00663,0.007074
qwen3_4b,Qwen 3 4B,0,36,0.0,1.875694,1.863671,-0.012023,0.012355,0.012692
qwen3_4b,Qwen 3 4B,1,36,0.0286,1.907858,1.96582,0.057962,0.012632,0.012891
qwen3_4b,Qwen 3 4B,2,36,0.0571,1.752453,1.893141,0.140688,0.010053,0.010671
qwen3_4b,Qwen 3 4B,3,36,0.0857,1.644039,1.745115,0.101076,0.008167,0.008917
qwen3_4b,Qwen 3 4B,4,36,0.1143,1.671429,1.79615,0.12472,0.008368,0.008511
qwen3_4b,Qwen 3 4B,5,36,0.1429,1.607392,1.783325,0.175934,0.007571,0.008017
qwen3_4b,Qwen 3 4B,6,36,0.1714,1.699911,1.841966,0.142055,0.008019,0.007977
qwen3_4b,Qwen 3 4B,7,36,0.2,0.633785,0.671882,0.038097,0.005514,0.005412
qwen3_4b,Qwen 3 4B,8,36,0.2286,0.809038,0.808028,-0.00101,0.006862,0.006815
qwen3_4b,Qwen 3 4B,9,36,0.2571,0.951694,0.910966,-0.040728,0.005997,0.006446
qwen3_4b,Qwen 3 4B,10,36,0.2857,1.101605,1.041605,-0.06,0.006951,0.006935
qwen3_4b,Qwen 3 4B,11,36,0.3143,1.080189,1.038058,-0.042131,0.007312,0.007468
qwen3_4b,Qwen 3 4B,12,36,0.3429,1.18772,1.122761,-0.064959,0.007188,0.006885
qwen3_4b,Qwen 3 4B,13,36,0.3714,1.114398,1.060871,-0.053527,0.006074,0.006247
qwen3_4b,Qwen 3 4B,14,36,0.4,1.300867,1.333342,0.032476,0.006948,0.007292
qwen3_4b,Qwen 3 4B,15,36,0.4286,1.294107,1.281288,-0.012819,0.008112,0.007193
qwen3_4b,Qwen 3 4B,16,36,0.4571,1.447798,1.343779,-0.104019,0.008874,0.008874
qwen3_4b,Qwen 3 4B,17,36,0.4857,1.700697,1.351534,-0.349163,0.009915,0.008396
qwen3_4b,Qwen 3 4B,18,36,0.5143,1.909175,1.811304,-0.09787,0.009255,0.008093
qwen3_4b,Qwen 3 4B,19,36,0.5429,1.768424,1.563419,-0.205005,0.008779,0.00829
qwen3_4b,Qwen 3 4B,20,36,0.5714,1.589005,1.496707,-0.092298,0.008262,0.007905
qwen3_4b,Qwen 3 4B,21,36,0.6,1.773138,1.562547,-0.210591,0.009103,0.008042
qwen3_4b,Qwen 3 4B,22,36,0.6286,1.443384,1.474116,0.030732,0.008315,0.007942
qwen3_4b,Qwen 3 4B,23,36,0.6571,1.661358,1.48784,-0.173518,0.010541,0.008483
qwen3_4b,Qwen 3 4B,24,36,0.6857,1.492468,1.321396,-0.171072,0.011615,0.009251
qwen3_4b,Qwen 3 4B,25,36,0.7143,0.960698,0.972651,0.011953,0.007774,0.007421
qwen3_4b,Qwen 3 4B,26,36,0.7429,0.943794,0.915069,-0.028725,0.009726,0.008663
qwen3_4b,Qwen 3 4B,27,36,0.7714,0.889718,0.910964,0.021246,0.008739,0.007892
qwen3_4b,Qwen 3 4B,28,36,0.8,1.191218,1.102948,-0.08827,0.009743,0.007915
qwen3_4b,Qwen 3 4B,29,36,0.8286,0.801682,0.794535,-0.007147,0.009268,0.008262
qwen3_4b,Qwen 3 4B,30,36,0.8571,0.688192,0.726643,0.038452,0.006967,0.006104
