model,model_label,variant,layer,n_layers,normalized_depth,intrinsic_dim,ci_low,ci_high
olmo2_7b,OLMo 2 7B,pt,9,32,0.2903,15.8661,nan,nan
olmo2_7b,OLMo 2 7B,pt,10,32,0.3226,15.7083,nan,nan
olmo2_7b,OLMo 2 7B,pt,11,32,0.3548,15.3397,nan,nan
olmo2_7b,OLMo 2 7B,pt,12,32,0.3871,15.2226,nan,nan
olmo2_7b,OLMo 2 7B,pt,13,32,0.4194,15.8103,nan,nan
olmo2_7b,OLMo 2 7B,pt,14,32,0.4516,16.3241,nan,nan
olmo2_7b,OLMo 2 7B,pt,15,32,0.4839,15.7997,nan,nan
olmo2_7b,OLMo 2 7B,pt,16,32,0.5161,15.8442,nan,nan
olmo2_7b,OLMo 2 7B,pt,17,32,0.5484,16.2887,nan,nan
olmo2_7b,OLMo 2 7B,pt,18,32,0.5806,15.3247,nan,nan
olmo2_7b,OLMo 2 7B,pt,19,32,0.6129,15.9478,nan,nan
olmo2_7b,OLMo 2 7B,pt,20,32,0.6452,15.7332,nan,nan
olmo2_7b,OLMo 2 7B,pt,21,32,0.6774,15.6223,nan,nan
olmo2_7b,OLMo 2 7B,pt,22,32,0.7097,16.5265,nan,nan
olmo2_7b,OLMo 2 7B,pt,23,32,0.7419,17.0901,nan,nan
olmo2_7b,OLMo 2 7B,pt,24,32,0.7742,18.3936,nan,nan
olmo2_7b,OLMo 2 7B,pt,25,32,0.8065,19.3976,nan,nan
olmo2_7b,OLMo 2 7B,pt,26,32,0.8387,20.212,nan,nan
olmo2_7b,OLMo 2 7B,pt,27,32,0.871,21.1344,nan,nan
olmo2_7b,OLMo 2 7B,pt,28,32,0.9032,21.9506,nan,nan
olmo2_7b,OLMo 2 7B,pt,29,32,0.9355,21.9347,nan,nan
olmo2_7b,OLMo 2 7B,pt,30,32,0.9677,21.5589,nan,nan
olmo2_7b,OLMo 2 7B,pt,31,32,1.0,20.8533,nan,nan
olmo2_7b,OLMo 2 7B,it,0,32,0.0,14.208,nan,nan
olmo2_7b,OLMo 2 7B,it,1,32,0.0323,15.6938,nan,nan
olmo2_7b,OLMo 2 7B,it,2,32,0.0645,16.7959,nan,nan
olmo2_7b,OLMo 2 7B,it,3,32,0.0968,18.3138,nan,nan
olmo2_7b,OLMo 2 7B,it,4,32,0.129,18.0814,nan,nan
olmo2_7b,OLMo 2 7B,it,5,32,0.1613,17.9015,nan,nan
olmo2_7b,OLMo 2 7B,it,6,32,0.1935,17.3173,nan,nan
olmo2_7b,OLMo 2 7B,it,7,32,0.2258,17.316,nan,nan
olmo2_7b,OLMo 2 7B,it,8,32,0.2581,17.4427,nan,nan
olmo2_7b,OLMo 2 7B,it,9,32,0.2903,17.3788,nan,nan
olmo2_7b,OLMo 2 7B,it,10,32,0.3226,17.1942,nan,nan
olmo2_7b,OLMo 2 7B,it,11,32,0.3548,16.5071,nan,nan
olmo2_7b,OLMo 2 7B,it,12,32,0.3871,16.5008,nan,nan
olmo2_7b,OLMo 2 7B,it,13,32,0.4194,17.2354,nan,nan
olmo2_7b,OLMo 2 7B,it,14,32,0.4516,17.4025,nan,nan
olmo2_7b,OLMo 2 7B,it,15,32,0.4839,17.2396,nan,nan
olmo2_7b,OLMo 2 7B,it,16,32,0.5161,17.4389,nan,nan
olmo2_7b,OLMo 2 7B,it,17,32,0.5484,17.5289,nan,nan
olmo2_7b,OLMo 2 7B,it,18,32,0.5806,16.867,nan,nan
olmo2_7b,OLMo 2 7B,it,19,32,0.6129,17.2316,nan,nan
olmo2_7b,OLMo 2 7B,it,20,32,0.6452,17.0922,nan,nan
olmo2_7b,OLMo 2 7B,it,21,32,0.6774,17.3923,nan,nan
olmo2_7b,OLMo 2 7B,it,22,32,0.7097,18.7087,nan,nan
olmo2_7b,OLMo 2 7B,it,23,32,0.7419,19.4114,nan,nan
olmo2_7b,OLMo 2 7B,it,24,32,0.7742,20.6218,nan,nan
olmo2_7b,OLMo 2 7B,it,25,32,0.8065,21.7231,nan,nan
olmo2_7b,OLMo 2 7B,it,26,32,0.8387,22.8357,nan,nan
olmo2_7b,OLMo 2 7B,it,27,32,0.871,23.8218,nan,nan
olmo2_7b,OLMo 2 7B,it,28,32,0.9032,25.1169,nan,nan
olmo2_7b,OLMo 2 7B,it,29,32,0.9355,25.5033,nan,nan
olmo2_7b,OLMo 2 7B,it,30,32,0.9677,25.6131,nan,nan
olmo2_7b,OLMo 2 7B,it,31,32,1.0,25.5375,nan,nan
