mode,model,event_kind,effect,metric,n,mean,ci_low,ci_high
native,gemma3_4b,first_diff,C_minus_D_late:support_pipeline_token,support_pipeline_token,600,-0.000312385917419479,-0.00038005639036141695,-0.00024232878482767514
native,gemma3_4b,first_diff,B_midlate_minus_B_mid:support_pipeline_token,support_pipeline_token,600,7.813859730958938e-05,3.982921672009287e-05,0.00011578562731544173
native,gemma3_4b,first_diff,D_midlate_minus_D_mid:support_pipeline_token,support_pipeline_token,600,0.00012379184720062077,7.830977963194961e-05,0.0001693637165285292
native,gemma3_4b,first_diff,late_weight_effect:alt_top10_delta,alt_top10_delta,600,-0.000447172619047619,-0.00053330078125,-0.00035918898809523815
native,gemma3_4b,first_diff,upstream_context_effect:alt_top10_delta,alt_top10_delta,600,-0.0005264136904761905,-0.0006190569196428572,-0.0004330310639880952
native,gemma3_4b,first_diff,late_interaction:alt_top10_delta,alt_top10_delta,600,-0.0008459821428571431,-0.001037974330357143,-0.0006718750000000002
native,gemma3_4b,first_diff,pure_IT_minus_PT:alt_top10_delta,alt_top10_delta,600,-0.0009735863095238095,-0.0011149646577380953,-0.0008351748511904762
native,gemma3_4b,first_diff,B_late_minus_A:alt_top10_delta,alt_top10_delta,600,-2.418154761904763e-05,-0.0001294735863095238,8.036644345238092e-05
native,gemma3_4b,first_diff,C_minus_D_late:alt_top10_delta,alt_top10_delta,600,-0.0008701636904761906,-0.001021968005952381,-0.000728394717261905
native,gemma3_4b,first_diff,B_midlate_minus_B_mid:alt_top10_delta,alt_top10_delta,600,0.00014397321428571432,3.718377976190477e-05,0.0002518694196428571
native,gemma3_4b,first_diff,D_midlate_minus_D_mid:alt_top10_delta,alt_top10_delta,600,0.00011569940476190477,-9.30059523809525e-06,0.00023772321428571427
native,gemma3_4b,first_diff,late_weight_effect:productive_opposition_rate,productive_opposition_rate,600,0.07833333333333334,0.07291517857142858,0.08386904761904762
native,gemma3_4b,first_diff,upstream_context_effect:productive_opposition_rate,productive_opposition_rate,600,0.1495238095238095,0.14196428571428568,0.15738095238095237
native,gemma3_4b,first_diff,late_interaction:productive_opposition_rate,productive_opposition_rate,600,0.0680952380952381,0.058214285714285705,0.07761904761904762
native,gemma3_4b,first_diff,pure_IT_minus_PT:productive_opposition_rate,productive_opposition_rate,600,0.22785714285714287,0.21797619047619046,0.23821726190476186
native,gemma3_4b,first_diff,B_late_minus_A:productive_opposition_rate,productive_opposition_rate,600,0.04428571428571428,0.03761607142857142,0.050714285714285705
native,gemma3_4b,first_diff,C_minus_D_late:productive_opposition_rate,productive_opposition_rate,600,0.11238095238095236,0.1044017857142857,0.12071428571428569
native,gemma3_4b,first_diff,B_midlate_minus_B_mid:productive_opposition_rate,productive_opposition_rate,600,0.020119047619047616,0.015,0.025119047619047617
native,gemma3_4b,first_diff,D_midlate_minus_D_mid:productive_opposition_rate,productive_opposition_rate,600,-0.08428571428571428,-0.09024107142857142,-0.07821428571428571
native,gemma3_4b,first_diff,late_weight_effect:margin_writein_it_vs_pt,margin_writein_it_vs_pt,600,0.0009359115907656294,0.0008687507962985407,0.0010087212974072568
native,gemma3_4b,first_diff,upstream_context_effect:margin_writein_it_vs_pt,margin_writein_it_vs_pt,600,0.001561580950926457,0.0014729828235271962,0.0016491828704629802
native,gemma3_4b,first_diff,late_interaction:margin_writein_it_vs_pt,margin_writein_it_vs_pt,600,0.0020305632737775644,0.0019031292006506451,0.0021535487311138287
native,gemma3_4b,first_diff,pure_IT_minus_PT:margin_writein_it_vs_pt,margin_writein_it_vs_pt,600,0.0024974925416920866,0.002359550386600728,0.002635043186845169
native,gemma3_4b,first_diff,B_late_minus_A:margin_writein_it_vs_pt,margin_writein_it_vs_pt,600,-7.937004612315268e-05,-0.00011232053692496961,-4.943797806100477e-05
native,gemma3_4b,first_diff,C_minus_D_late:margin_writein_it_vs_pt,margin_writein_it_vs_pt,600,0.0019511932276544115,0.001825759735889733,0.0020725255077704784
native,gemma3_4b,first_diff,B_midlate_minus_B_mid:margin_writein_it_vs_pt,margin_writein_it_vs_pt,600,-8.474853067171005e-05,-0.00011549232367958342,-5.436198910077415e-05
native,gemma3_4b,first_diff,D_midlate_minus_D_mid:margin_writein_it_vs_pt,margin_writein_it_vs_pt,600,-0.0006150881289726212,-0.0006548197879677726,-0.0005743702659383417
native,gemma3_4b,first_diff,late_weight_effect:opposition_support_it_token,opposition_support_it_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,upstream_context_effect:opposition_support_it_token,opposition_support_it_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,late_interaction:opposition_support_it_token,opposition_support_it_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,pure_IT_minus_PT:opposition_support_it_token,opposition_support_it_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,B_late_minus_A:opposition_support_it_token,opposition_support_it_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,C_minus_D_late:opposition_support_it_token,opposition_support_it_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,B_midlate_minus_B_mid:opposition_support_it_token,opposition_support_it_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,D_midlate_minus_D_mid:opposition_support_it_token,opposition_support_it_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,late_weight_effect:opposition_support_pt_token,opposition_support_pt_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,upstream_context_effect:opposition_support_pt_token,opposition_support_pt_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,late_interaction:opposition_support_pt_token,opposition_support_pt_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,pure_IT_minus_PT:opposition_support_pt_token,opposition_support_pt_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,B_late_minus_A:opposition_support_pt_token,opposition_support_pt_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,C_minus_D_late:opposition_support_pt_token,opposition_support_pt_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,B_midlate_minus_B_mid:opposition_support_pt_token,opposition_support_pt_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,D_midlate_minus_D_mid:opposition_support_pt_token,opposition_support_pt_token,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,late_weight_effect:opposition_margin_it_vs_pt,opposition_margin_it_vs_pt,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,upstream_context_effect:opposition_margin_it_vs_pt,opposition_margin_it_vs_pt,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,late_interaction:opposition_margin_it_vs_pt,opposition_margin_it_vs_pt,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,pure_IT_minus_PT:opposition_margin_it_vs_pt,opposition_margin_it_vs_pt,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,B_late_minus_A:opposition_margin_it_vs_pt,opposition_margin_it_vs_pt,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,C_minus_D_late:opposition_margin_it_vs_pt,opposition_margin_it_vs_pt,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,B_midlate_minus_B_mid:opposition_margin_it_vs_pt,opposition_margin_it_vs_pt,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,D_midlate_minus_D_mid:opposition_margin_it_vs_pt,opposition_margin_it_vs_pt,600,0.0,0.0,0.0
native,gemma3_4b,first_diff,late_weight_effect:remainder_margin_it_vs_pt,remainder_margin_it_vs_pt,600,0.000913038146903827,0.000851215954315627,0.000971581425750628
native,gemma3_4b,first_diff,upstream_context_effect:remainder_margin_it_vs_pt,remainder_margin_it_vs_pt,600,0.0015427796822041274,0.0014567680145347755,0.0016286538751640667
native,gemma3_4b,first_diff,late_interaction:remainder_margin_it_vs_pt,remainder_margin_it_vs_pt,600,0.001983487323103916,0.0018663982404174197,0.00209830595357787
native,gemma3_4b,first_diff,pure_IT_minus_PT:remainder_margin_it_vs_pt,remainder_margin_it_vs_pt,600,0.0024558178291079545,0.0023233679550079007,0.002579680220002219
native,gemma3_4b,first_diff,B_late_minus_A:remainder_margin_it_vs_pt,remainder_margin_it_vs_pt,600,-7.870551464813097e-05,-0.00010908975494315935,-4.5983200582365194e-05
native,gemma3_4b,first_diff,C_minus_D_late:remainder_margin_it_vs_pt,remainder_margin_it_vs_pt,600,0.001904781808455785,0.001784942927681619,0.0020164322811844094
native,gemma3_4b,first_diff,B_midlate_minus_B_mid:remainder_margin_it_vs_pt,remainder_margin_it_vs_pt,600,-8.568960286322093e-05,-0.00011466364150068591,-5.5601568094321685e-05
native,gemma3_4b,first_diff,D_midlate_minus_D_mid:remainder_margin_it_vs_pt,remainder_margin_it_vs_pt,600,-0.0005769381955975577,-0.0006163093803361768,-0.0005371855333270062
native,gemma3_4b,first_diff,late_weight_effect:target_vs_alt_margin,target_vs_alt_margin,600,0.00034761344286657515,0.0002504648799786256,0.00044549618458286633
native,gemma3_4b,first_diff,upstream_context_effect:target_vs_alt_margin,target_vs_alt_margin,600,0.00034191310228336424,0.000247522995993495,0.00044492451347233266
native,gemma3_4b,first_diff,late_interaction:target_vs_alt_margin,target_vs_alt_margin,600,0.0004203286603802727,0.00023969953668614231,0.0006077535824938897
native,gemma3_4b,first_diff,pure_IT_minus_PT:target_vs_alt_margin,target_vs_alt_margin,600,0.0006895265451499395,0.0005464216913850535,0.0008360725177185876
native,gemma3_4b,first_diff,B_late_minus_A:target_vs_alt_margin,target_vs_alt_margin,600,0.00013744911267643884,3.232460930233911e-05,0.0002489998816379479
native,gemma3_4b,first_diff,C_minus_D_late:target_vs_alt_margin,target_vs_alt_margin,600,0.0005577777730567115,0.00040111081915951907,0.0007201099947094918
native,gemma3_4b,first_diff,B_midlate_minus_B_mid:target_vs_alt_margin,target_vs_alt_margin,600,-6.583461697612491e-05,-0.0001738779606652402,5.2291094981843494e-05
native,gemma3_4b,first_diff,D_midlate_minus_D_mid:target_vs_alt_margin,target_vs_alt_margin,600,8.092442438715994e-06,-0.0001166889941053731,0.00013028522481520958
native,gemma3_4b,first_nonformat_diff,late_weight_effect:delta_cosine_mlp,delta_cosine_mlp,290,-0.039463452607036424,-0.040209965917991815,-0.03868388832371126
native,gemma3_4b,first_nonformat_diff,upstream_context_effect:delta_cosine_mlp,delta_cosine_mlp,290,-0.07133948688675679,-0.07335303372254999,-0.06914297912910115
native,gemma3_4b,first_nonformat_diff,late_interaction:delta_cosine_mlp,delta_cosine_mlp,290,-0.025791305555508123,-0.02701109279808187,-0.024484441133307135
native,gemma3_4b,first_nonformat_diff,pure_IT_minus_PT:delta_cosine_mlp,delta_cosine_mlp,290,-0.1108029394937932,-0.11338666127064051,-0.10833431218946152
