mode,effect,mean,ci_low,ci_high,n
raw_shared,PT+IT mid vs late IT-token transfer,0.19733333333333333,0.177325,0.21533333333333332,3000
raw_shared,IT+PT mid vs late PT-token transfer,0.18566666666666667,0.17,0.20233333333333334,3000
native,IT late-minus-mid margin gain,20.63147912534078,20.065828533744813,21.203871860615415,3000
raw_shared,IT late-minus-mid margin gain,3.7490520844953474,3.479738937413736,4.004994153784618,2983
native,Pure IT late margin minus IT+PT late margin,11.1755009765625,10.890645403544108,11.477269108581542,3000
raw_shared,Pure IT late margin minus IT+PT late margin,2.5185682953423076,2.4071694328686637,2.634535184803322,2983
