mode,pool,condition,pt_token_fraction,it_token_fraction,other_token_fraction,missing_token_fraction,pt_winner_fraction,it_winner_fraction,other_winner_fraction,early_it_minus_pt_margin_delta,early_it_logit_delta,early_pt_logit_delta,mid_policy_it_minus_pt_margin_delta,mid_policy_it_logit_delta,mid_policy_pt_logit_delta,late_reconciliation_it_minus_pt_margin_delta,late_reconciliation_it_logit_delta,late_reconciliation_pt_logit_delta,exp11_early_it_minus_pt_margin_delta,exp11_early_it_logit_delta,exp11_early_pt_logit_delta,exp11_mid_it_minus_pt_margin_delta,exp11_mid_it_logit_delta,exp11_mid_pt_logit_delta,exp11_late_it_minus_pt_margin_delta,exp11_late_it_logit_delta,exp11_late_pt_logit_delta,y_it_first_top1_layer,y_it_first_top5_layer,y_it_first_top20_layer,y_pt_first_top1_layer,y_pt_first_top5_layer,y_pt_first_top20_layer
native,dense5,A_pt_raw,1.0,0.0,0.0,0.0,0.999,0.0006666666666666666,0.0003333333333333333,6.731273194948832,3.5847946090698244,-3.146478585879008,-1.2197389475504556,1.9904143002827963,3.2101532478332517,-7.652512285868327,3.987261189778646,11.639773475646972,7.15767974503835,3.7671819597880045,-3.390497785250346,-3.437826395750046,3.3871133161385854,6.824939711888631,-7.652512285868327,3.987261189778646,11.639773475646972,23.074324324324323,20.761479591836736,21.80747812251392,26.421140380126708,22.645333333333333,20.643666666666668
native,dense5,B_early_raw,0.7253333333333334,0.034666666666666665,0.24,0.0,0.7283333333333334,0.035666666666666666,0.236,6.460327397664388,3.4716871032714844,-2.9886402943929036,-0.9610653845469157,2.020571163813273,2.9816365483601888,-7.0191308205922445,4.487682689030965,11.50681350962321,6.600674178759257,3.4557002029418946,-3.1449739758173623,-2.301996246576309,3.753818813085556,6.055815059661866,-7.0191308205922445,4.487682689030965,11.50681350962321,23.151020408163266,20.349878934624698,21.799416484318016,25.19378640776699,22.825823806321452,20.908514190317195
native,dense5,B_mid_raw,0.6093333333333333,0.04666666666666667,0.3433333333333333,0.0006666666666666666,0.611,0.047,0.342,6.844384702364604,3.639623566309611,-3.2047611360549926,-0.767194668451945,1.9663038965861002,2.7334985650380452,-7.145929327646892,4.91065420850118,12.056583536148072,7.079486210187277,3.6507552655537925,-3.4287309446334837,-2.1523692874908447,3.879311370849609,6.031680658340454,-7.145929327646892,4.91065420850118,12.056583536148072,23.949019607843137,21.35143442622951,21.822666666666667,25.573160535117058,23.044097693351425,21.277184789859906
native,dense5,B_late_raw,0.759,0.010333333333333333,0.23066666666666666,0.0,0.7603333333333333,0.010333333333333333,0.22933333333333333,6.731273194948832,3.5847946090698244,-3.146478585879008,-1.2197389475504556,1.9904143002827963,3.2101532478332517,-9.206962928771972,4.21132623799642,13.418289166768393,7.15767974503835,3.7671819597880045,-3.390497785250346,-3.287433446884155,3.368812973022461,6.6562464199066165,-9.206962928771972,4.21132623799642,13.418289166768393,23.708791208791208,21.468060394889662,22.102952308856928,25.529522376833395,22.525143435707054,20.695260347129505
native,dense5,C_it_chat,0.0,1.0,0.0,0.0,0.0003333333333333333,0.9993333333333333,0.0003333333333333333,3.1778214826583864,1.4082169523239136,-1.7696045303344727,1.293104881922404,2.7800082887013753,1.4869034067789713,21.924584007263185,25.981260210673014,4.056676203409831,2.4562237129211426,0.7636788670221965,-1.692544845898946,4.818693587621053,7.246217055638631,2.4275234680175783,21.924584007263185,25.981260210673014,4.056676203409831,25.549666666666667,22.419666666666668,20.643,26.106194690265486,25.0,23.343009931245227
native,dense5,D_early_ptswap,0.039,0.502,0.4583333333333333,0.0006666666666666666,0.041,0.5066666666666667,0.4523333333333333,2.8645212295850118,0.3438452130953471,-2.5206760164896647,2.3309138072331748,3.981244111696879,1.6503303044637043,10.996441781520844,16.254579752604165,5.258137971083324,3.1277213648557662,0.7525482799212138,-2.3751730849345525,4.111789801120758,7.055211982727051,2.9434221816062927,10.996441781520844,16.254579752604165,5.258137971083324,24.764824120603016,23.519415746348415,22.044414535666217,27.258964143426294,25.83941605839416,23.257013574660633
native,dense5,D_mid_ptswap,0.0013333333333333333,0.5853333333333334,0.41333333333333333,0.0,0.020666666666666667,0.6223333333333333,0.357,3.1461326529184976,1.4750221541722615,-1.6711104987462362,1.8028540398279826,3.3210933430989584,1.5182393032709758,11.872341692606607,16.74641162109375,4.874069928487142,2.8322826000849406,1.1952845481236776,-1.636998051961263,3.6808292973836263,6.624382901509603,2.9435536041259764,11.872341692606607,16.74641162109375,4.874069928487142,24.911777488048674,23.439149811450118,21.19324640588432,23.945121951219512,22.50377358490566,22.085176085176084
native,dense5,D_late_ptswap,0.006333333333333333,0.759,0.23133333333333334,0.0033333333333333335,0.006333333333333333,0.7616666666666667,0.232,3.1778214826583864,1.4082169523239136,-1.7696045303344727,1.293104881922404,2.7800082887013753,1.4869034067789713,10.749083030700683,17.188598101298016,6.439515070597331,2.4562237129211426,0.7636788670221965,-1.692544845898946,4.384828900655111,7.339781740824382,2.9549528401692706,10.749083030700683,17.188598101298016,6.439515070597331,24.826018189007513,22.890884445950526,21.050484787696423,25.590476190476192,24.3780260707635,23.461815561959654
native,all6,A_pt_raw,1.0,0.0,0.0,0.0,0.9975,0.001388888888888889,0.0011111111111111111,5.651035530832079,3.539527124034034,-2.1115084067980447,-1.5668308809068467,2.2659237787458633,3.83275465965271,-5.666919960445828,4.950432501898872,10.6173524623447,5.8151061307059395,3.700542444917891,-2.1145636857880485,-3.8037632413042917,3.8574177333381443,7.661180974642436,-5.666919960445828,4.950432501898872,10.6173524623447,21.5,20.25207756232687,20.93643586833144,24.97053918843802,21.13138888888889,19.00138888888889
native,all6,B_early_raw,0.7108333333333333,0.0475,0.24166666666666667,0.0,0.7163888888888889,0.05305555555555556,0.23055555555555557,5.280907274881999,3.3591991255018447,-1.921708149380154,-1.1686227379904852,2.4402934069103663,3.608916144900852,-5.109049345122443,5.396265081299676,10.50531442642212,5.187924588256412,3.338227121565077,-1.849697466691335,-2.553412869970004,4.411268862419658,6.964681732389662,-5.109049345122443,5.396265081299676,10.50531442642212,21.985401459854014,19.99151103565365,20.734076433121018,23.70361917182915,21.241813602015114,19.189986091794157
native,all6,B_mid_raw,0.6108333333333333,0.058611111111111114,0.33,0.0005555555555555556,0.6163888888888889,0.059444444444444446,0.32416666666666666,5.73644200483958,3.5747849451171025,-2.1616570597224767,-1.0841200653711955,2.317622174157037,3.401742239528232,-5.221370414098104,5.842349644237094,11.063720058335198,5.7320999521679346,3.5917424490716723,-2.1403575030962627,-2.57020174185435,4.385701505872938,6.955903247727288,-5.221370414098104,5.842349644237094,11.063720058335198,22.575688073394495,20.779367469879517,20.988619495299357,24.22829131652661,21.613713318284425,19.564758198999446
native,all6,B_late_raw,0.755,0.01972222222222222,0.22444444444444445,0.0008333333333333334,0.7613888888888889,0.02,0.21861111111111112,5.651035530832079,3.539527124034034,-2.1115084067980447,-1.5668308809068467,2.2659237787458633,3.83275465965271,-6.8880962774488665,5.743331760830349,12.631428038279216,5.8151061307059395,3.700542444917891,-2.1145636857880485,-3.6619350989659627,3.872490832010905,7.534425930976868,-6.8880962774488665,5.743331760830349,12.631428038279216,22.402332361516034,21.02415458937198,21.091353996737357,24.057446144239776,21.020774845592364,19.04115684093437
