mode,family,condition,target,mean,ci_low,ci_high,n
raw_shared,margin_delta,B_early_raw,late_reconciliation,-0.6521744224556013,-0.7984183282369421,-0.5109536608633003,2983
raw_shared,token_identity,B_mid_raw,pt_token,0.4093333333333333,0.39066666666666666,0.42700833333333327,3000
raw_shared,token_identity,B_mid_raw,it_token,0.33266666666666667,0.31566666666666665,0.34933333333333333,3000
raw_shared,winner,B_mid_raw,pt_winner,0.44033333333333335,0.42333333333333334,0.45767499999999994,3000
raw_shared,winner,B_mid_raw,it_winner,0.3556666666666667,0.3383333333333333,0.37266666666666665,3000
raw_shared,margin_delta,B_mid_raw,mid_policy,-0.354932318907075,-0.4794739567829865,-0.22574665796584908,2983
raw_shared,margin_delta,B_mid_raw,late_reconciliation,-0.10714667458043496,-0.24626701065968876,0.037685719744854566,2983
raw_shared,token_identity,B_late_raw,pt_token,0.6,0.5826666666666667,0.617,3000
raw_shared,token_identity,B_late_raw,it_token,0.13533333333333333,0.12299166666666667,0.14766666666666667,3000
raw_shared,winner,B_late_raw,pt_winner,0.6433333333333333,0.6263333333333333,0.66,3000
raw_shared,winner,B_late_raw,it_winner,0.14633333333333334,0.134,0.15867499999999995,3000
raw_shared,margin_delta,B_late_raw,mid_policy,-0.8573968420083036,-0.9885273004193614,-0.7276245268347118,2983
raw_shared,margin_delta,B_late_raw,late_reconciliation,-1.042522260337878,-1.2091507768774847,-0.8761598702768651,2983
raw_shared,token_identity,C_it_chat,pt_token,0.0,0.0,0.0,3000
raw_shared,token_identity,C_it_chat,it_token,0.9943333333333333,0.9913333333333333,0.997,3000
raw_shared,winner,C_it_chat,pt_winner,0.002,0.0006666666666666666,0.0036666666666666666,3000
raw_shared,winner,C_it_chat,it_winner,0.9886666666666667,0.9846666666666667,0.9923333333333333,3000
raw_shared,margin_delta,C_it_chat,mid_policy,0.6107188102346197,0.5049787729089387,0.7304950216173766,2983
raw_shared,margin_delta,C_it_chat,late_reconciliation,4.359770894729968,4.1577103914368925,4.561805693510991,2983
raw_shared,token_identity,D_early_ptswap,pt_token,0.25466666666666665,0.23966666666666667,0.27,3000
raw_shared,token_identity,D_early_ptswap,it_token,0.47833333333333333,0.46066666666666667,0.49633333333333335,3000
raw_shared,winner,D_early_ptswap,pt_winner,0.274,0.25833333333333336,0.291,3000
raw_shared,winner,D_early_ptswap,it_winner,0.506,0.48799166666666666,0.5243416666666666,3000
raw_shared,margin_delta,D_early_ptswap,mid_policy,-0.022299730414078213,-0.13878496536423685,0.08958688378533851,2983
raw_shared,margin_delta,D_early_ptswap,late_reconciliation,1.6708187265680654,1.478802556348974,1.8647354908609726,2983
raw_shared,token_identity,D_mid_ptswap,pt_token,0.3426666666666667,0.325,0.36,3000
raw_shared,token_identity,D_mid_ptswap,it_token,0.428,0.4103333333333333,0.445,3000
raw_shared,winner,D_mid_ptswap,pt_winner,0.3566666666666667,0.339325,0.374,3000
raw_shared,winner,D_mid_ptswap,it_winner,0.44966666666666666,0.43233333333333335,0.4673333333333333,3000
raw_shared,margin_delta,D_mid_ptswap,mid_policy,0.10476447158798131,-0.013479725322665842,0.21469289777744857,2983
raw_shared,margin_delta,D_mid_ptswap,late_reconciliation,0.8607994064244096,0.6955893525811917,1.0313045890787644,2983
raw_shared,token_identity,D_late_ptswap,pt_token,0.157,0.14466666666666667,0.17,3000
raw_shared,token_identity,D_late_ptswap,it_token,0.587,0.569325,0.604675,3000
raw_shared,winner,D_late_ptswap,pt_winner,0.17,0.15666666666666668,0.18333333333333332,3000
raw_shared,winner,D_late_ptswap,it_winner,0.6213333333333333,0.6046666666666667,0.6386666666666667,3000
raw_shared,margin_delta,D_late_ptswap,mid_policy,0.6107188102346197,0.49635816869662186,0.7241634404463453,2983
raw_shared,margin_delta,D_late_ptswap,late_reconciliation,1.8412025993876597,1.6598676088469324,2.020322661187239,2983
